<b>Codepoint</b>,<b>Character</b>,<b>Description</b>,<b>Result</b>
U+0964,।,DEVNAGARI DANDA (DANRI),Matched
U+0965,॥,DEVNAGARI DOUBLE DANDA (DANRI),Matched
U+0981,ঁ,SIGN CHANDRABINDU,Matched
U+0981,ঁ,ASSAMESE LETTER CHANDRABINDU,Matched
U+0982,ং,SIGN ANUSWARA,Matched
U+0982,ং,ASSAMESE LETTER ANUSVARA,Matched
U+0983,ঃ,SIGN VISARGA,Matched
U+0983,ঃ,ASSAMESE LETTER VISARGA,Matched
U+0985,অ,ASSAMESE LETTER A,Matched
U+0986,আ,ASSAMESE LETTER AA,Matched
U+0987,ই,ASSAMESE LETTER I,Matched
U+0988,ঈ,ASSAMESE LETTER II,Matched
U+0989,উ,ASSAMESE LETTER U,Matched
U+098A,ঊ,ASSAMESE LETTER UU,Matched
U+098B,ঋ,ASSAMESE LETTER VOCALIC R,Matched
U+098F,এ,ASSAMESE LETTER E,Matched
U+0990,ঐ,ASSAMESE LETTER AI,Matched
U+0993,ও,ASSAMESE LETTER O,Matched
U+0994,ঔ,ASSAMESE LETTER AU,Matched
U+0995,ক,ASSAMESE LETTER KA,Matched
U+0996,খ,ASSAMESE LETTER KHA,Matched
U+0997,গ,ASSAMESE LETTER GA,Matched
U+0998,ঘ,ASSAMESE LETTER GHA,Matched
U+0999,ঙ,ASSAMESE LETTER NGA,Matched
U+099A,চ,ASSAMESE LETTER CA,Matched
U+099B,ছ,ASSAMESE LETTER CHA,Matched
U+099C,জ,ASSAMESE LETTER JA,Matched
U+099D,ঝ,ASSAMESE LETTER JHA,Matched
U+099E,ঞ,ASSAMESE LETTER NYA,Matched
U+099F,ট,ASSAMESE LETTER TTA,Matched
U+09A0,ঠ,ASSAMESE LETTER TTHA,Matched
U+09A1,ড,ASSAMESE LETTER DDA,Matched
U+09A2,ঢ,ASSAMESE LETTER DDHA,Matched
U+09A3,ণ,ASSAMESE LETTER NNA,Matched
U+09A4,ত,ASSAMESE LETTER TA,Matched
U+09A5,থ,ASSAMESE LETTER THA,Matched
U+09A6,দ,ASSAMESE LETTER DA,Matched
U+09A7,ধ,ASSAMESE LETTER DHA,Matched
U+09A8,ন,ASSAMESE LETTER NA,Matched
U+09AA,প,ASSAMESE LETTER PA,Matched
U+09AB,ফ,ASSAMESE LETTER PHA,Matched
U+09AC,ব,ASSAMESE LETTER BA,Matched
U+09AD,ভ,ASSAMESE LETTER BHA,Matched
