codepoint, imagepath, rawcode, desc
U+0995 U+09CD U+09F0, image/0995-09CD-09F0.jpg,  ক্ৰ, KA + HALANT + RA
U+0996 U+09CD U+09F0, image/0996-09CD-09F0.jpg,  খ্ৰ, KHA + HALANT + RA
U+0997 U+09CD U+09F0, image/0997-09CD-09F0.jpg,  গ্ৰ, GA + HALANT + RA
U+0998 U+09CD U+09F0, image/0998-09CD-09F0.jpg,  ঘ্ৰ, GHA + HALANT + RA
U+099C U+09CD U+09F0, image/099C-09CD-09F0.jpg,  জ্ৰ , JA + HALANT + RA
U+09A4 U+09CD U+09F0, image/09A4-09CD-09F0.jpg,  ত্ৰ, TA + HALANT + RA
U+09A6 U+09CD U+09F0, image/09A6-09CD-09F0.jpg,  দ্ৰ , DA + HALANT + RA
U+09A7 U+09CD U+09F0, image/09A7-09CD-09F0.jpg,  ধ্ৰ, DHA + HALANT + RA
U+09AA U+09CD U+09F0, image/09AA-09CD-09F0.jpg,  প্ৰ, PA + HALANT + RA
U+09AE U+09CD U+09F0, image/09AE-09CD-09F0.jpg,  ম্ৰ, MA + HALANT + RA
U+09B6 U+09CD U+09F0, image/09B6-09CD-09F0.jpg,  শ্ৰ, SHA + HALANT + RA
U+09B8 U+09CD U+09F0, image/09B8-09CD-09F0.jpg,  স্ৰ, SA + HALANT + RA
U+09B9 U+09CD U+09F0, image/09B9-09CD-09F0.jpg,  হ্ৰ , HA + HALANT + RA
U+0995 U+09CD U+09B2, image/0995-09CD-09B2.jpg,  ক্ল , 	KA + HALANT + LA
U+0997 U+09CD U+09B2, image/0997-09CD-09B2.jpg,  গ্ল, GA + HALANT + LA
U+09AA U+09CD U+09B2, image/09AA-09CD-09B2.jpg,  প্ল, PA + HALANT + LA
U+09AE U+09CD U+09B2, image/09AE-09CD-09B2.jpg,  ম্ল, MA + HALANT + LA
U+09B2 U+09CD U+09B2, image/09B2-09CD-09B2.jpg,  ল্ল, LA + HALANT + LA
U+09B6 U+09CD U+09B2, image/09B6-09CD-09B2.jpg,  শ্ল, SHA + HALANT + LA
U+09B8 U+09CD U+09B2, image/09B8-09CD-09B2.jpg,  স্ল, SA + HALANT + LA
