codepoint,imagepath,rawcode,desc
U+0995 U+09CD U+0995,image/0995-09CD-0995.svg,ক্ক,KA + HALANT + KA
U+0995 U+09CD U+099F,image/0995-09CD-099F.svg,ক্ট,KA + HALANT + TTA
U+0995 U+09CD U+09A4,image/0995-09CD-09A4.svg,ক্ত,KA + HALANT + TA
U+0995 U+09CD U+09A8,image/0995-09CD-09A8.svg,ক্ন,KA + HALANT + NA
U+0995 U+09CD U+09AC,image/0995-09CD-09AC.svg,ক্ব,KA + HALANT + BA
U+0995 U+09CD U+09B2,image/0995-09CD-09B2.svg,ক্ল ,KA + HALANT + LA
U+0995 U+09CD U+09B7,image/0995-09CD-09B7.svg,ক্ষ ,KA + HALANT + SSA
U+0995 U+09CD U+09B7 U+09CD U+09A3,image/0995-09CD-09B7-09CD-09A3.svg,ক্ষ্ণ, KA + HALANT + SSA + HALANT + NNA
U+0995 U+09CD U+09B7 U+09CD U+09AE,image/0995-09CD-09B7-09CD-09AE.svg,ক্ষ্ম,KA + HALANT + SSA + HALANT + MA
U+0995 U+09CD U+09F0,image/0995-09CD-09F0.svg,ক্ৰ,KA + HALANT + R
U+0996 U+09CD U+09F0,image/0996-09CD-09F0.svg,খ্ৰ,KHA + HALANT + RA
U+0997 U+09CD U+09A7,image/0997-09CD-09A7.svg,গ্ধ,GA + HALANT + DHA
U+0997 U+09CD U+09A8,image/0997-09CD-09A8.svg,গ্ন,GA + HALANT + NA
U+0997 U+09CD U+09AE,image/0997-09CD-09AE.svg,গ্ম,GA + HALANT + MA
U+0997 U+09CD U+09B2,image/0997-09CD-09B2.svg,গ্ল,GA + HALANT + LA
U+0997 U+09CD U+09F0,image/0997-09CD-09F0.svg,গ্ৰ,GA + HALANT + RA
U+0998 U+09CD U+09F0,image/0998-09CD-09F0.svg,ঘ্ৰ,GHA + HALANT + RA
U+0999 U+09CD U+0995,image/0999-09CD-0995.svg,ঙ্ক,NGA + HALANT + KA
U+0999 U+09CD U+0996,image/0999-09CD-0996.svg,ঙ্খ,NGA + HALANT + KHA
U+0999 U+09CD U+0997,image/0999-09CD-0997.svg,ঙ্গ,NGA + HALANT + GA
U+0999 U+09CD U+0998,image/0999-09CD-0998.svg,ঙ্ঘ,NGA + HALANT + GHA
U+0999 U+09CD U+09AE,image/0999-09CD-09AE.svg,ঙ্ম,NGA + HALANT + MA
U+099A U+09CD U+099A,image/099A-09CD-099A.svg,চ্চ,CA + HALANT + CA
U+099A U+09CD U+099B,image/099A-09CD-099B.svg,চ্ছ,CA + HALANT + CHA
U+099A U+09CD U+099B U+09CD U+09AC,image/099A-09CD-099B-09CD-09AC.svg,চ্ছ্ব,CA + HALANT + CHA + HALANT + BA
U+099A U+09CD U+099E,image/099A-09CD-099E.svg,চ্ঞ,CA + HALANT + NYA
U+099C U+09CD U+099C,image/099C-09CD-099C.svg,জ্জ,JA + HALANT + JA
U+099C U+09CD U+099C U+09CD U+09AC,image/099C-09CD-099C-09CD-09AC.svg,জ্জ্ব,JA + HALANT + JA + HALANT + BA
U+099C U+09CD U+099D,image/099C-09CD-099D.svg,জ্ঝ,JA + HALANT + JHA
U+099C U+09CD U+099E,image/099C-09CD-099E.svg,জ্ঞ,JA + HALANT + NYA
U+099C U+09CD U+09AC,image/099C-09CD-09AC.svg,জ্ব,JA + HALANT + BA
U+099C U+09CD U+09F0,image/099C-09CD-09F0.svg,জ্ৰ ,JA + HALANT + RA
U+099E U+09CD U+099A,image/099E-09CD-099A.svg,ঞ্চ,NYA + HALANT + CA
U+099E U+09CD U+099B,image/099E-09CD-099B.svg,ঞ্ছ,NYA + HALANT + CHA
U+099E U+09CD U+099C,image/099E-09CD-099C.svg,ঞ্জ,NYA + HALANT + JA
U+099F U+09CD U+099F,image/099F-09CD-099F.svg,ট্ট,TTA + HALANT + TTA
U+099F U+09CD U+09AC,image/099F-09CD-09AC.svg,ট্ব,TTA + HALANT + BA
U+099F U+09CD U+09AE,image/099F-09CD-09AE.svg,ট্ম,TTA + HALANT + MA
U+09A3 U+09CD U+099F,image/09A3-09CD-099F.svg,ণ্ট ,NNA + HALANT + TTA
U+09A3 U+09CD U+09A1,image/09A3-09CD-09A1.svg,ণ্ড,NNA + HALANT + DDA
U+09A3 U+09CD U+09A3,image/09A3-09CD-09A3.svg,ণ্ণ ,NNA + HALANT + NNA
U+09A3 U+09CD U+09AE,image/09A3-09CD-09AE.svg,ণ্ম,NNA + HALANT + MA
U+09A4 U+09CD U+09A4,image/09A4-09CD-09A4.svg,ত্ত,TA + HALANT + TA
U+09A4 U+09CD U+09A4 U+09CD U+09AC,image/09A4-09CD-09A4-09CD-09AC.svg,ত্ত্ব,TA + HALANT + TA + HALANT + BA
U+09A4 U+09CD U+09A8,image/09A4-09CD-09A8.svg,ত্ন,TA + HALANT + NA
U+09A4 U+09CD U+09AC,image/09A4-09CD-09AC.svg,ত্ব,TA + HALANT + BA
U+09A4 U+09CD U+09AE,image/09A4-09CD-09AE.svg,ত্ম,TA + HALANT + MA
U+09A4 U+09CD U+09AE U+09CD U+09AF,image/09A4-09CD-09AE-09CD-09AF.svg,ত্ম্য,TA + HALANT + MA + HALANT + YA
U+09A4 U+09CD U+09F0,image/09A4-09CD-09F0.svg,ত্ৰ,TA + HALANT + RA
U+09A6 U+09CD U+0997,image/09A6-09CD-0997.svg,দ্গ,DA + HALANT + GA
U+09A6 U+09CD U+0998,image/09A6-09CD-0998.svg,দ্ঘ,DA + HALANT + GHA
U+09A6 U+09CD U+09A6,image/09A6-09CD-09A6.svg,দ্দ,DA + HALANT + DA
