codepoint, imagepath, rawcode, desc
U+09BE , image/09BE.jpg, া,	BENGALI VOWELS SIGN AA
U+09BF , image/09BF.jpg,  ি,	BENGALI VOWELS SIGN I
U+09C0 , image/09C0.jpg,  ী,	BENGALI VOWELS SIGN II
U+09C1 , image/09C1.jpg,  ু,	BENGALI VOWELS SIGN U
U+09C2 , image/09C2.jpg,  ূ,	BENGALI VOWELS SIGN UU
U+09C3 , image/09C3.jpg,  ৃ,	BENGALI VOWELS SIGN VOCALIC R
U+09C7 , image/09C7.jpg,  ে,	BENGALI VOWELS SIGN E (Stands to the left of the consonant)
U+09C8 , image/09C8.jpg,  ৈ,	BENGALI VOWELS SIGN AI (Stands to the left of the consonant)
U+09CB , image/09CB.jpg,  ো,	BENGALI VOWELS SIGN O
U+09CC , image/09CC.jpg,  ৌ, BENGALI VOWELS SIGN AU
