codepoint, imagepath, rawcode, desc
U+0995 U+0981 , image/0995-0981.jpg,  কঁ,	BENGALI LETTER KA	+  BENGALI LETTER CHANDRABINDU   
U+0996 U+0981 , image/0996-0981.jpg,  খঁ,	BENGALI LETTER KHA	+  BENGALI LETTER CHANDRABINDU
U+0997 U+0981 , image/0997-0981.jpg,  গঁ,	BENGALI LETTER GA	+  BENGALI LETTER CHANDRABINDU
U+0998 U+0981 , image/0998-0981.jpg,  ঘঁ,	BENGALI LETTER GHA	+  BENGALI LETTER CHANDRABINDU
U+099A U+0981 , image/099A-0981.jpg,  চঁ,	BENGALI LETTER CA	+  BENGALI LETTER CHANDRABINDU
U+099B U+0981 , image/099B-0981.jpg,  ছঁ,	BENGALI LETTER CHA	+  BENGALI LETTER CHANDRABINDU
U+099C U+0981 , image/099C-0981.jpg,  জঁ,	BENGALI LETTER JA	+  BENGALI LETTER CHANDRABINDU
U+099D U+0981 , image/099D-0981.jpg,  ঝঁ,	BENGALI LETTER JHA	+  BENGALI LETTER CHANDRABINDU
U+099F U+0981 , image/099F-0981.jpg,  টঁ,	BENGALI LETTER TTA	+  BENGALI LETTER CHANDRABINDU
U+09A0 U+0981 , image/09A0-0981.jpg,  ঠঁ,	BENGALI LETTER TTHA	+  BENGALI LETTER CHANDRABINDU
U+09A1 U+0981 , image/09A1-0981.jpg,  ডঁ,	BENGALI LETTER DDA	+  BENGALI LETTER CHANDRABINDU
U+09A2 U+0981 , image/09A2-0981.jpg,  ঢঁ,	BENGALI LETTER DDHA	+  BENGALI LETTER CHANDRABINDU
U+09A4 U+0981 , image/09A4-0981.jpg,  তঁ,	BENGALI LETTER TA	+  BENGALI LETTER CHANDRABINDU
U+09A5 U+0981 , image/09A5-0981.jpg,  থঁ,	BENGALI LETTER THA	+  BENGALI LETTER CHANDRABINDU
U+09A6 U+0981 , image/09A6-0981.jpg,  দঁ,	BENGALI LETTER DA	+  BENGALI LETTER CHANDRABINDU
U+09A7 U+0981 , image/09A7-0981.jpg,  ধঁ,	BENGALI LETTER DHA	+  BENGALI LETTER CHANDRABINDU
U+09AA U+0981 , image/09AA-0981.jpg,  পঁ,	BENGALI LETTER PA	+  BENGALI LETTER CHANDRABINDU
U+09AB U+0981 , image/09AB-0981.jpg,  ফঁ,	BENGALI LETTER PHA	+  BENGALI LETTER CHANDRABINDU
U+09AC U+0981 , image/09AC-0981.jpg,  বঁ,	BENGALI LETTER BA	+  BENGALI LETTER CHANDRABINDU
U+09AD U+0981 , image/09AD-0981.jpg,  ভঁ,	BENGALI LETTER BHA	+  BENGALI LETTER CHANDRABINDU
U+09AE U+0981 , image/09AE-0981.jpg,  মঁ,	BENGALI LETTER MA	+  BENGALI LETTER CHANDRABINDU
