codepoint, imagepath, rawcode, desc
U+0A95 , image/0A95.jpg,  ક, GUJARATI LETTER KA
U+0A96 , image/0A96.jpg,  ખ, GUJARATI LETTER KHA
U+0A97 , image/0A97.jpg,  ગ, GUJARATI LETTER GA
U+0A98 , image/0A98.jpg,  ઘ, GUJARATI LETTER GHA
U+0A99 , image/0A99.jpg,  ઙ, GUJARATI LETTER NGA
U+0A9A , image/0A9A.jpg,  ચ, GUJARATI LETTER CA
U+0A9B , image/0A9B.jpg,  છ, GUJARATI LETTER CHA
U+0A9C , image/0A9C.jpg,  જ, GUJARATI LETTER JA
U+0A9D , image/0A9D.jpg,  ઝ, GUJARATI LETTER JHA
U+0A9E , image/0A9E.jpg,  ઞ, GUJARATI LETTER NYA
U+0A9F , image/0A9F.jpg,  ટ, GUJARATI LETTER TTA
U+0AA0 , image/0AA0.jpg,  ઠ, GUJARATI LETTER TTHA
U+0AA1 , image/0AA1.jpg,  ડ, GUJARATI LETTER DDA
U+0AA2 , image/0AA2.jpg,  ઢ, GUJARATI LETTER DDHA
U+0AA3 , image/0AA3.jpg,  ણ, GUJARATI LETTER NNA
U+0AA4 , image/0AA4.jpg,  ત, GUJARATI LETTER TA
U+0AA5 , image/0AA5.jpg,  થ, GUJARATI LETTER THA
U+0AA6 , image/0AA6.jpg,  દ, GUJARATI LETTER DA
U+0AA7 , image/0AA7.jpg,  ધ, GUJARATI LETTER DHA
U+0AA8 , image/0AA8.jpg,  ન, GUJARATI LETTER NA
U+0AAA , image/0AAA.jpg,  પ, GUJARATI LETTER PA
U+0AAB , image/0AAB.jpg,  ફ, GUJARATI LETTER PHA
U+0AAC , image/0AAC.jpg,  બ, GUJARATI LETTER BA
U+0AAD , image/0AAD.jpg,  ભ, GUJARATI LETTER BHA
U+0AAE , image/0AAE.jpg,  મ, GUJARATI LETTER MA
U+0AAF , image/0AAF.jpg,  ય, GUJARATI LETTER YA
U+0AB0 , image/0AB0.jpg,  ર, GUJARATI LETTER RA
U+0AB2 , image/0AB2.jpg,  લ, GUJARATI LETTER LA
U+0AB3 , image/0AB3.jpg,  ળ, GUJARATI LETTER LLA
U+0AB5 , image/0AB5.jpg,  વ, GUJARATI LETTER VA
U+0AB6 , image/0AB6.jpg,  શ, GUJARATI LETTER SHA
U+0AB7 , image/0AB7.jpg,  ષ, GUJARATI LETTER SSA
U+0AB8 , image/0AB8.jpg,  સ, GUJARATI LETTER SA
U+0AB9 , image/0AB9.jpg,  હ, GUJARATI LETTER HA
