codepoint,imagepath,rawcode,desc
U+0A95 U+0A81,image/0A95-0A81.jpg,કઁ,KA + CHANDRABINDU
U+0A95 U+0A82,image/0A95-0A82.jpg,કં,KA + ANUSVARA
U+0A95 U+0AC1,image/0A95-0AC1.jpg,કુ,KA + U
U+0A95 U+0AC2,image/0A95-0AC2.jpg,કૂ,KA + UU
U+0A95 U+0AC3,image/0A95-0AC3.jpg,કૃ,KA + VOALIC R
U+0A95 U+0AC4,image/0A95-0AC4.jpg,કૄ,KA + VOCALIC RR
U+0A95 U+0AC5,image/0A95-0AC5.jpg,કૅ,KA + CANDRA E
U+0A95 U+0AC7,image/0A95-0AC7.jpg,કે,KA + E
U+0A95 U+0AC8,image/0A95-0AC8.jpg,કૈ,KA + AI
U+0A95 U+0ACD,image/0A95-0ACD.jpg,ક્,KA + HALANT
U+0A96 U+0A81,image/0A96-0A81.jpg,ખઁ,KHA + CHANDRABINDU
U+0A96 U+0A82,image/0A96-0A82.jpg,ખં,KHA + ANUSVARA
U+0A96 U+0AC1,image/0A96-0AC1.jpg,ખુ,KHA + U
U+0A96 U+0AC2,image/0A96-0AC2.jpg,ખૂ,KHA + UU
U+0A96 U+0AC3,image/0A96-0AC3.jpg,ખૃ,KHA + VOALIC R
U+0A96 U+0AC4,image/0A96-0AC4.jpg,ખૄ,KHA + VOCALIC RR
U+0A96 U+0AC5,image/0A96-0AC5.jpg,ખૅ,KHA + CANDRA E
U+0A96 U+0AC7,image/0A96-0AC7.jpg,ખે,KHA + E
U+0A96 U+0AC8,image/0A96-0AC8.jpg,ખૈ,KHA + AI
U+0A96 U+0ACD,image/0A96-0ACD.jpg,ખ્,KHA + HALANT
U+0A97 U+0A81,image/0A97-0A81.jpg,ગઁ,GA + CHANDRABINDU
U+0A97 U+0A82,image/0A97-0A82.jpg,ગં,GA + ANUSVARA
U+0A97 U+0AC1,image/0A97-0AC1.jpg,ગુ,GA + U
U+0A97 U+0AC2,image/0A97-0AC2.jpg,ગૂ,GA + UU
U+0A97 U+0AC3,image/0A97-0AC3.jpg,ગૃ,GA + VOALIC R
U+0A97 U+0AC4,image/0A97-0AC4.jpg,ગૄ,GA + VOCALIC RR
U+0A97 U+0AC5,image/0A97-0AC5.jpg,ગૅ,GA + CANDRA E
U+0A97 U+0AC7,image/0A97-0AC7.jpg,ગે,GA + E
U+0A97 U+0AC8,image/0A97-0AC8.jpg,ગૈ,GA + AI
U+0A97 U+0ACD,image/0A97-0ACD.jpg,ગ્,GA + HALANT
U+0A98 U+0A81,image/0A98-0A81.jpg,ઘઁ,GHA + CHANDRABINDU
U+0A98 U+0A82,image/0A98-0A82.jpg,ઘં,GHA + ANUSVARA
U+0A98 U+0AC1,image/0A98-0AC1.jpg,ઘુ,GHA + U
U+0A98 U+0AC2,image/0A98-0AC2.jpg,ઘૂ,GHA + UU
U+0A98 U+0AC3,image/0A98-0AC3.jpg,ઘૃ,GHA + VOALIC R
U+0A98 U+0AC4,image/0A98-0AC4.jpg,ઘૄ,GHA + VOCALIC RR
U+0A98 U+0AC5,image/0A98-0AC5.jpg,ઘૅ,GHA + CANDRA E
U+0A98 U+0AC7,image/0A98-0AC7.jpg,ઘે,GHA + E
U+0A98 U+0AC8,image/0A98-0AC8.jpg,ઘૈ,GHA + AI
U+0A98 U+0ACD,image/0A98-0ACD.jpg,ઘ્,GHA + HALANT
U+0A99 U+0A81,image/0A99-0A81.jpg,ઙઁ,NGA + CHANDRABINDU
U+0A99 U+0A82,image/0A99-0A82.jpg,ઙં,NGA + ANUSVARA
U+0A99 U+0AC1,image/0A99-0AC1.jpg,ઙુ,NGA + U
U+0A99 U+0AC2,image/0A99-0AC2.jpg,ઙૂ,NGA + UU
U+0A99 U+0AC3,image/0A99-0AC3.jpg,ઙૃ,NGA + VOALIC R
U+0A99 U+0AC4,image/0A99-0AC4.jpg,ઙૄ,NGA + VOCALIC RR
U+0A99 U+0AC5,image/0A99-0AC5.jpg,ઙૅ,NGA + CANDRA E
U+0A99 U+0AC7,image/0A99-0AC7.jpg,ઙે,NGA + E
U+0A99 U+0AC8,image/0A99-0AC8.jpg,ઙૈ,NGA + AI
U+0A99 U+0ACD,image/0A99-0ACD.jpg,ઙ્,NGA + HALANT
U+0A9A U+0A81,image/0A9A-0A81.jpg,ચઁ,CA + CHANDRABINDU
U+0A9A U+0A82,image/0A9A-0A82.jpg,ચં,CA + ANUSVARA
U+0A9A U+0AC1,image/0A9A-0AC1.jpg,ચુ,CA + U
