codepoint,imagepath,rawcode,desc
U+0A95 U+0ACD U+0A95,image/0A95-0ACD-0A95.svg,ક્ક,KA + HALANT + KA
U+0A95 U+0ACD U+0A96,image/0A95-0ACD-0A96.svg,ક્ખ,KA + HALANT + KHA
U+0A95 U+0ACD U+0A97,image/0A95-0ACD-0A97.svg,ક્ગ,KA + HALANT + GA
U+0A95 U+0ACD U+0A98,image/0A95-0ACD-0A98.svg,ક્ઘ,KA + HALANT + GHA 
U+0A95 U+0ACD U+0A99,image/0A95-0ACD-0A99.svg,ક્ઙ,KA + HALANT + NGA
U+0A95 U+0ACD U+0A9A,image/0A95-0ACD-0A9A.svg,ક્ચ,KA + HALANT + CA
U+0A95 U+0ACD U+0A9B,image/0A95-0ACD-0A9B.svg,ક્છ,KA + HALANT + CHA
U+0A95 U+0ACD U+0A9C,image/0A95-0ACD-0A9C.svg,ક્જ,KA + HALANT + JA
U+0A95 U+0ACD U+0A9D,image/0A95-0ACD-0A9D.svg,ક્ઝ,KA + HALANT + JHA
U+0A95 U+0ACD U+0A9E,image/0A95-0ACD-0A9E.svg,ક્ઞ,KA + HALANT + NYA
U+0A95 U+0ACD U+0A9F,image/0A95-0ACD-0A9F.svg,ક્ટ,KA + HALANT + TTA
U+0A95 U+0ACD U+0AA0,image/0A95-0ACD-0AA0.svg,ક્ઠ,KA + HALANT + TTHA
U+0A95 U+0ACD U+0AA1,image/0A95-0ACD-0AA1.svg,ક્ડ,KA + HALANT + DDA
U+0A95 U+0ACD U+0AA2,image/0A95-0ACD-0AA2.svg,ક્ઢ,KA + HALANT + DDHA
U+0A95 U+0ACD U+0AA3,image/0A95-0ACD-0AA3.svg,ક્ણ,KA + HALANT + NNA
U+0A95 U+0ACD U+0AA4,image/0A95-0ACD-0AA4.svg,ક્ત,KA + HALANT + TA
U+0A95 U+0ACD U+0AA5,image/0A95-0ACD-0AA5.svg,ક્થ,KA + HALANT + THA
U+0A95 U+0ACD U+0AA6,image/0A95-0ACD-0AA6.svg,ક્દ,KA + HALANT + DA
U+0A95 U+0ACD U+0AA7,image/0A95-0ACD-0AA7.svg,ક્ધ,KA + HALANT + DHA
U+0A95 U+0ACD U+0AA8,image/0A95-0ACD-0AA8.svg,ક્ન,KA + HALANT + NA
U+0A95 U+0ACD U+0AAA,image/0A95-0ACD-0AAA.svg,ક્પ,KA + HALANT + PA
U+0A95 U+0ACD U+0AAB,image/0A95-0ACD-0AAB.svg,ક્ફ,KA + HALANT + PHA
U+0A95 U+0ACD U+0AAC,image/0A95-0ACD-0AAC.svg,ક્બ,KA + HALANT + BA
U+0A95 U+0ACD U+0AAD,image/0A95-0ACD-0AAD.svg,ક્ભ,KA + HALANT + BHA
U+0A95 U+0ACD U+0AAE,image/0A95-0ACD-0AAE.svg,ક્મ,KA + HALANT + MA
U+0A95 U+0ACD U+0AAF,image/0A95-0ACD-0AAF.svg,ક્ય,KA + HALANT + YA
U+0A95 U+0ACD U+0AB0,image/0A95-0ACD-0AB0.svg,ક્ર,KA + HALANT + RA
U+0A95 U+0ACD U+0AB2,image/0A95-0ACD-0AB2.svg,ક્લ,KA + HALANT + LA
U+0A95 U+0ACD U+0AB3,image/0A95-0ACD-0AB3.svg,ક્ળ,KA + HALANT + LLA
U+0A95 U+0ACD U+0AB5,image/0A95-0ACD-0AB5.svg,ક્વ,KA + HALANT + VA
U+0A95 U+0ACD U+0AB6,image/0A95-0ACD-0AB6.svg,ક્શ,KA + HALANT + SHA
U+0A95 U+0ACD U+0AB7,image/0A95-0ACD-0AB7.svg,ક્ષ,KA + HALANT + SSA
U+0A95 U+0ACD U+0AB8,image/0A95-0ACD-0AB8.svg,ક્સ,KA + HALANT + SA
U+0A95 U+0ACD U+0AB9,image/0A95-0ACD-0AB9.svg,ક્હ,KA + HALANT + HA
U+0A96 U+0ACD U+0A95,image/0A96-0ACD-0A95.svg,ખ્ક,KHA + HALANT + KA
U+0A96 U+0ACD U+0A96,image/0A96-0ACD-0A96.svg,ખ્ખ,KHA + HALANT + KHA
U+0A96 U+0ACD U+0A97,image/0A96-0ACD-0A97.svg,ખ્ગ,KHA + HALANT + GA
U+0A96 U+0ACD U+0A98,image/0A96-0ACD-0A98.svg,ખ્ઘ,KHA + HALANT + GHA
U+0A96 U+0ACD U+0A99,image/0A96-0ACD-0A99.svg,ખ્ઙ,KHA + HALANT + NGA
