codepoint,imagepath,rawcode,desc
U+0915 U+094D U+0915,image/0915-094D-0915.svg,क्क,KA + HALANT + KA
U+0915 U+094D U+0916,image/0915-094D-0916.svg,क्ख,KA + HALANT + KHA
U+0915 U+094D U+0917,image/0915-094D-0917.svg,क्ग,KA + HALANT + GA
U+0915 U+094D U+0918,image/0915-094D-0918.svg,क्घ,KA + HALANT + GHA
U+0915 U+094D U+0919,image/0915-094D-0919.svg,क्ङ,KA + HALANT + NGA
U+0915 U+094D U+091A,image/0915-094D-091A.svg,क्च,KA + HALANT + CA
U+0915 U+094D U+091B,image/0915-094D-091B.svg,क्छ,KA + HALANT + CHA
U+0915 U+094D U+091C,image/0915-094D-091C.svg,क्ज,KA + HALANT + JA
U+0915 U+094D U+091D,image/0915-094D-091D.svg,क्झ,KA + HALANT + JHA
U+0915 U+094D U+091E,image/0915-094D-091E.svg,क्ञ,KA + HALANT + NYA
U+0915 U+094D U+091F,image/0915-094D-091F.svg,क्ट,KA + HALANT + TTA
U+0915 U+094D U+0920,image/0915-094D-0920.svg,क्ठ,KA + HALANT + TTHA
U+0915 U+094D U+0921,image/0915-094D-0921.svg,क्ड,KA + HALANT + DDA
U+0915 U+094D U+0922,image/0915-094D-0922.svg,क्ढ,KA + HALANT + DDHA
U+0915 U+094D U+0923,image/0915-094D-0923.svg,क्ण,KA + HALANT + NNA
U+0915 U+094D U+0924,image/0915-094D-0924.svg,क्त,KA + HALANT + TA
U+0915 U+094D U+0925,image/0915-094D-0925.svg,क्थ,KA + HALANT + THA
U+0915 U+094D U+0926,image/0915-094D-0926.svg,क्द,KA + HALANT + DA
U+0915 U+094D U+0927,image/0915-094D-0927.svg,क्ध,KA + HALANT + DHA
U+0915 U+094D U+0928,image/0915-094D-0928.svg,क्न,KA + HALANT + NA
U+0915 U+094D U+092A,image/0915-094D-092A.svg,क्प,KA + HALANT + PA
U+0915 U+094D U+092B,image/0915-094D-092B.svg,क्फ,KA + HALANT + PHA
U+0915 U+094D U+092C,image/0915-094D-092C.svg,क्ब,KA + HALANT + BA
U+0915 U+094D U+092D,image/0915-094D-092D.svg,क्भ,KA + HALANT + BHA
U+0915 U+094D U+092E,image/0915-094D-092E.svg,क्म,KA + HALANT + MA
U+0915 U+094D U+092F,image/0915-094D-092F.svg,क्य,KA + HALANT + YA
U+0915 U+094D U+0930,image/0915-094D-0930.svg,क्र,KA + HALANT + RA
U+0915 U+094D U+0932,image/0915-094D-0932.svg,क्ल,KA + HALANT + LA
U+0915 U+094D U+0935,image/0915-094D-0935.svg,क्व,KA + HALANT + VA
U+0915 U+094D U+0936,image/0915-094D-0936.svg,क्श,KA + HALANT + SHA
U+0915 U+094D U+0937,image/0915-094D-0937.svg,क्ष,KA + HALANT + SSA
U+0915 U+094D U+0938,image/0915-094D-0938.svg,क्स,KA + HALANT + SA
U+0915 U+094D U+0939,image/0915-094D-0939.svg,क्ह,KA + HALANT + HA
U+0916 U+094D U+0915,image/0916-094D-0915.svg,ख्क,KHA + HALANT + KA
U+0916 U+094D U+0916,image/0916-094D-0916.svg,ख्ख,KHA + HALANT + KHA
U+0916 U+094D U+0917,image/0916-094D-0917.svg,ख्ग,KHA + HALANT + GA
U+0916 U+094D U+0918,image/0916-094D-0918.svg,ख्घ,KHA + HALANT + GHA
U+0916 U+094D U+0919,image/0916-094D-0919.svg,ख्ङ,KHA + HALANT + NGA
U+0916 U+094D U+091A,image/0916-094D-091A.svg,ख्च,KHA + HALANT + CA
U+0916 U+094D U+091B,image/0916-094D-091B.svg,ख्छ,KHA + HALANT + CHA
U+0916 U+094D U+091C,image/0916-094D-091C.svg,ख्ज,KHA + HALANT + JA
U+0916 U+094D U+091D,image/0916-094D-091D.svg,ख्झ,KHA + HALANT + JHA
U+0916 U+094D U+091E,image/0916-094D-091E.svg,ख्ञ,KHA + HALANT + NYA
U+0916 U+094D U+091F,image/0916-094D-091F.svg,ख्ट,KHA + HALANT + TTA
U+0916 U+094D U+0920,image/0916-094D-0920.svg,ख्ठ,KHA + HALANT + TTHA
U+0916 U+094D U+0921,image/0916-094D-0921.svg,ख्ड,KHA + HALANT + DDA
U+0916 U+094D U+0922,image/0916-094D-0922.svg,ख्ढ,KHA + HALANT + DDHA
U+0916 U+094D U+0923,image/0916-094D-0923.svg,ख्ण,KHA + HALANT + NNA
U+0916 U+094D U+0924,image/0916-094D-0924.svg,ख्त,KHA + HALANT + TA
U+0916 U+094D U+0925,image/0916-094D-0925.svg,ख्थ,KHA + HALANT + THA
U+0916 U+094D U+0926,image/0916-094D-0926.svg,ख्द,KHA + HALANT + DA
U+0916 U+094D U+0927,image/0916-094D-0927.svg,ख्ध,KHA + HALANT + DHA
