codepoint, imagepath, rawcode, desc
U+0C95 , image/0C95.jpg,  ಕ, KANNADA LETTER KA
U+0C96 , image/0C96.jpg,  ಖ, KANNADA LETTER KHA
U+0C97 , image/0C97.jpg,  ಗ, KANNADA LETTER GA
U+0C98 , image/0C98.jpg,  ಘ, KANNADA LETTER GHA
U+0C99 , image/0C99.jpg,  ಙ, KANNADA LETTER NGA
U+0C9A , image/0C9A.jpg,  ಚ, KANNADA LETTER CA
U+0C9B , image/0C9B.jpg,  ಛ, KANNADA LETTER CHA
U+0C9C , image/0C9C.jpg,  ಜ, KANNADA LETTER JA
U+0C9D , image/0C9D.jpg,  ಝ, KANNADA LETTER JHA
U+0C9E , image/0C9E.jpg,  ಞ, KANNADA LETTER NYA
U+0C9F , image/0C9F.jpg,  ಟ, KANNADA LETTER TTA
U+0CA0 , image/0CA0.jpg,  ಠ, KANNADA LETTER TTHA
U+0CA1 , image/0CA1.jpg,  ಡ, KANNADA LETTER DDA
U+0CA2 , image/0CA2.jpg,  ಢ, KANNADA LETTER DDHA
U+0CA3 , image/0CA3.jpg,  ಣ, KANNADA LETTER NNA
U+0CA4 , image/0CA4.jpg,  ತ, KANNADA LETTER TA
U+0CA5 , image/0CA5.jpg,  ಥ, KANNADA LETTER THA
U+0CA6 , image/0CA6.jpg,  ದ, KANNADA LETTER DA
U+0CA7 , image/0CA7.jpg,  ಧ, KANNADA LETTER DHA
U+0CA8 , image/0CA8.jpg,  ನ, KANNADA LETTER NA
U+0CAA , image/0CAA.jpg,  ಪ, KANNADA LETTER PA
U+0CAB , image/0CAB.jpg,  ಫ, KANNADA LETTER PHA
U+0CAC , image/0CAC.jpg,  ಬ, KANNADA LETTER BA
U+0CAD , image/0CAD.jpg,  ಭ, KANNADA LETTER BHA
U+0CAE , image/0CAE.jpg,  ಮ, KANNADA LETTER MA
U+0CAF , image/0CAF.jpg,  ಯ, KANNADA LETTER YA
U+0CB0 , image/0CB0.jpg,  ರ, KANNADA LETTER  RA
U+0CB1 , image/0CB1.jpg,  ಱ, KANNADA LETTER  RRA
U+0CB2 , image/0CB2.jpg,  ಲ, KANNADA LETTER  LA
U+0CB3 , image/0CB3.jpg,  ಳ, KANNADA LETTER  LLA
U+0CB5 , image/0CB5.jpg,  ವ, KANNADA LETTER  VA
U+0CB6 , image/0CB6.jpg,  ಶ, KANNADA LETTER SHA
U+0CB7 , image/0CB7.jpg,  ಷ, KANNADA LETTER SSA
U+0CB8 , image/0CB8.jpg,  ಸ, KANNADA LETTER SA
U+0CB9 , image/0CB9.jpg,  ಹ, KANNADA LETTER HA
U+0C82 , image/0C82.jpg,  ಂ, KANNADA SIGN ANUSVARA
U+0C83 , image/0C83.jpg,  ಃ, KANNADA SIGN VISARGA
U+0CBC , image/0CBC.jpg,  ಼, KANNADA SIGN NUKTA 
U+0CBD , image/0CBD.jpg,  ಽ, KANNADA AVAGRAHA
U+0CCD , image/0CCD.jpg,  ್, KANNADA VIRAMA (HALANT)
