codepoint, imagepath, rawcode, desc
U+0CE6, image/0CE6.jpg,  ೦, KANNADA DIGIT ZERO
U+0CE7, image/0CE7.jpg,  ೧, KANNADA DIGIT ONE
U+0CE8, image/0CE8.jpg,  ೨, KANNADA DIGIT TWO
U+0CE9, image/0CE9.jpg,  ೩, KANNADA DIGIT THREE
U+0CEA, image/0CEA.jpg,  ೪, KANNADA DIGIT FOUR
U+0CEB, image/0CEB.jpg,  ೫, KANNADA DIGIT FIVE
U+0CEC, image/0CEC.jpg,  ೬, KANNADA DIGIT SIX
U+0CED, image/0CED.jpg,  ೭, KANNADA DIGIT SEVEN
U+0CEE, image/0CEE.jpg,  ೮, KANNADA DIGIT EIGHT
U+0CEF, image/0CEF.jpg,  ೯, KANNADA DIGIT NINE
