codepoint, imagepath, rawcode, desc
U+0C95 U+0CBE,image/0C95-0CBE.jpg, ಕಾ , KA + AA
U+0C96 U+0CBE,image/0C96-0CBE.jpg, ಖಾ, KHA + AA
U+0C97 U+0CBE,image/0C97-0CBE.jpg, ಗಾ, GA + AA
U+0CA0 U+0CBE,image/0CA0-0CBE.jpg, ಠಾ, TTA + AA
U+0CA1 U+0CBE,image/0CA1-0CBE.jpg, ಡಾ , CA + AA
U+0C9B U+0CBE,image/0C9B-0CBE.jpg, ಛಾ, CHA + AA
U+0C95 U+0CBF , image/0C95-0CBF.jpg,  ಕಿ, KA + I
U+0C96 U+0CBF , image/0C96-0CBF.jpg,  ಖಿ, KHA + I
U+0C97 U+0CBF , image/0C97-0CBF.jpg,  ಗಿ, GA + I
U+0C98 U+0CBF , image/0C98-0CBF.jpg,  ಘಿ, GHA + I
U+0C99 U+0CBF , image/0C99-0CBF.jpg,  ಙಿ, NGA + I
U+0C9A U+0CBF , image/0C9A-0CBF.jpg,  ಚಿ, CA + I
U+0C9B U+0CBF , image/0C9B-0CBF.jpg,  ಛಿ, CHA + I
U+0C9C U+0CBF , image/0C9C-0CBF.jpg,  ಜಿ, JA + I
U+0C9D U+0CBF , image/0C9D-0CBF.jpg,  ಝಿ, JHA + I
U+0C9E U+0CBF , image/0C9E-0CBF.jpg,  ಞಿ, NYA + I
U+0C9F U+0CBF , image/0C9F-0CBF.jpg,  ಟಿ, TTA + I
U+0CA0 U+0CBF , image/0CA0-0CBF.jpg,  ಠಿ, TTHA + I
U+0CA1 U+0CBF , image/0CA1-0CBF.jpg,  ಡಿ, DDA + I
U+0CA2 U+0CBF , image/0CA2-0CBF.jpg,  ಢಿ, DDHA + I
U+0CA3 U+0CBF , image/0CA3-0CBF.jpg,  ಣಿ, NNA + I
U+0CA4 U+0CBF , image/0CA4-0CBF.jpg,  ತಿ, TA + I
U+0CA5 U+0CBF , image/0CA5-0CBF.jpg,  ಥಿ, THA + I
U+0CA6 U+0CBF , image/0CA6-0CBF.jpg,  ದಿ, DA + I
U+0CA7 U+0CBF , image/0CA7-0CBF.jpg,  ಧಿ, DHA + I
U+0CA8 U+0CBF , image/0CA8-0CBF.jpg,  ನಿ, NA + I
U+0CAA U+0CBF , image/0CAA-0CBF.jpg,  ಪಿ, PA + I
U+0CAB U+0CBF , image/0CAB-0CBF.jpg,  ಫಿ, PHA + I
U+0CAC U+0CBF , image/0CAC-0CBF.jpg,  ಬಿ, BA + I
U+0CAD U+0CBF , image/0CAD-0CBF.jpg,  ಭಿ, BHA + I
U+0CAE U+0CBF , image/0CAE-0CBF.jpg,  ಮಿ, MA + I
U+0CAF U+0CBF , image/0CAF-0CBF.jpg,  ಯಿ, YA + I
U+0CB0 U+0CBF , image/0CB0-0CBF.jpg,  ರಿ, RA + I
U+0CB1 U+0CBF , image/0CB1-0CBF.jpg,  ಱಿ, RRA + I
U+0CB2 U+0CBF , image/0CB2-0CBF.jpg,  ಲಿ, LA + I
U+0CB3 U+0CBF , image/0CB3-0CBF.jpg,  ಳಿ, LLA + I
U+0CB5 U+0CBF , image/0CB5-0CBF.jpg,  ವಿ, VA + I
U+0CB6 U+0CBF , image/0CB6-0CBF.jpg,  ಶಿ, SHA + I
U+0CB7 U+0CBF , image/0CB7-0CBF.jpg,  ಷಿ, SSA + I
U+0CB8 U+0CBF , image/0CB8-0CBF.jpg,  ಸಿ, SA + I
U+0CB9 U+0CBF , image/0CB9-0CBF.jpg,  ಹಿ, HA + I
U+0C95 U+0CC1,  image/0C95-0CC1.jpg,    ಕು, KA + U 
U+0C97 U+0CC1, image/0C97-0CC1.jpg, ಗು, GA + U
U+0C9C U+0CC1, image/0C9C-0CC1.jpg, ಜು, JA + U
U+0C9F U+0CC1, image/0C9F-0CC1.jpg, ಟು, TTA + U
U+0CA4 U+0CC1, image/0CA4-0CC1.jpg, ತು, TA +  U
U+0C96 U+0CC1, image/0C96-0CC1.jpg, ಖು, KHA + U
U+0C95 U+0CC2,image/0C95-0CC2.jpg, ಕೂ, KA + UU
U+0C96 U+0CC2,image/0C96-0CC2.jpg, ಖೂ, KHA + UU
U+0C97 U+0CC2,image/0C97-0CC2.jpg, ಗೂ, GA + UU
U+0C9F U+0CC2,image/0C9F-0CC2.jpg, ಟೂ, TTA + UU
U+0C9A U+0CC2,image/0C9A-0CC2.jpg, ಚೂ, CA + UU
U+0C9B U+0CC2,image/0C9B-0CC2.jpg, ಛೂ, CHA + UU
U+0C95 U+0CC4, image/0C95-0CC4.jpg, ಕೄ , KA + RR
U+0C97 U+0CC4, image/0C97-0CC4.jpg, ಗೄ , GA + RR
U+0C9C U+0CC4, image/0C9C-0CC4.jpg, ಜೄ , JA + RR
U+0C9F U+0CC4, image/0C9F-0CC4.jpg, ಟೄ , TTA +RR
U+0CA4 U+0CC4, image/0CA4-0CC4.jpg, ತೄ , TA +  RR
U+0C96 U+0CC4, image/0C96-0CC4.jpg, ಖೄ , KHA + RR
U+0C95 U+0CC7, image/0C95-0CC7.jpg, ಕೇ, KA + EE
U+0C97 U+0CC7, image/0C97-0CC7.jpg, ಗೇ , GA + EE
U+0C9C U+0CC7, image/0C9C-0CC7.jpg, ಜೇ , JA + EE
U+0C9F U+0CC7, image/0C9F-0CC7.jpg, ಟೇ , TTA + EE
U+0CA4 U+0CC7, image/0CA4-0CC7.jpg, ತೇ, TA +  EE
U+0C96 U+0CC7, image/0C96-0CC7.jpg, ಖೇ , KHA + EE
U+0C95 U+0CC8, image/0C95-0CC8.jpg, ಕೈ, KA + AI
U+0C97 U+0CC8, image/0C97-0CC8.jpg, ಗೈ , GA + AI
U+0C9C U+0CC8, image/0C9C-0CC8.jpg, ಜೈ , JA + AI
U+0C9F U+0CC8, image/0C9F-0CC8.jpg, ಟೈ , TTA + AI
U+0CA4 U+0CC8, image/0CA4-0CC8.jpg, ತೈ, TA +  AI
U+0C96 U+0CC8, image/0C96-0CC8.jpg, ಖೈ , KHA + AI
U+0C95 U+0CCA, image/0C95-0CCA.jpg, ಕೊ, KA + O
U+0C97 U+0CCA, image/0C97-0CCA.jpg, ಗೊ, GA + O
U+0C9C U+0CCA, image/0C9C-0CCA.jpg, ಜೊ , JA + O
U+0C9F U+0CCA, image/0C9F-0CCA.jpg, ಟೊ , TTA + O
U+0CA4 U+0CCA, image/0CA4-0CCA.jpg, ತೊ, TA +  O
U+0C96 U+0CCA, image/0C96-0CCA.jpg, ಖೊ , KHA + O
U+0C95 U+0CCB, image/0C95-0CCB.jpg, ಕೋ, KA + OO
U+0C97 U+0CCB, image/0C97-0CCB.jpg, ಗೋ, GA + OO
