codepoint,imagepath,rawcode,desc
U+0C95 U+0CBE,image/0C95-0CBE.svg,ಕಾ,KA + AA
U+0C96 U+0CBE,image/0C96-0CBE.svg,ಖಾ,KHA + AA
U+0C97 U+0CBE,image/0C97-0CBE.svg,ಗಾ,GA + AA
U+0CA0 U+0CBE,image/0CA0-0CBE.svg,ಠಾ,TTA + AA
U+0CA1 U+0CBE,image/0CA1-0CBE.svg,ಡಾ,CA + AA
U+0C9B U+0CBE,image/0C9B-0CBE.svg,ಛಾ,CHA + AA
U+0C95 U+0CBF,image/0C95-0CBF.svg,ಕಿ,KA + I
U+0C96 U+0CBF,image/0C96-0CBF.svg,ಖಿ,KHA + I
U+0C97 U+0CBF,image/0C97-0CBF.svg,ಗಿ,GA + I
U+0C98 U+0CBF,image/0C98-0CBF.svg,ಘಿ,GHA + I
U+0C99 U+0CBF,image/0C99-0CBF.svg,ಙಿ,NGA + I
U+0C9A U+0CBF,image/0C9A-0CBF.svg,ಚಿ,CA + I
U+0C9B U+0CBF,image/0C9B-0CBF.svg,ಛಿ,CHA + I
U+0C9C U+0CBF,image/0C9C-0CBF.svg,ಜಿ,JA + I
U+0C9D U+0CBF,image/0C9D-0CBF.svg,ಝಿ,JHA + I
U+0C9E U+0CBF,image/0C9E-0CBF.svg,ಞಿ,NYA + I
U+0C9F U+0CBF,image/0C9F-0CBF.svg,ಟಿ,TTA + I
U+0CA0 U+0CBF,image/0CA0-0CBF.svg,ಠಿ,TTHA + I
U+0CA1 U+0CBF,image/0CA1-0CBF.svg,ಡಿ,DDA + I
U+0CA2 U+0CBF,image/0CA2-0CBF.svg,ಢಿ,DDHA + I
U+0CA3 U+0CBF,image/0CA3-0CBF.svg,ಣಿ,NNA + I
U+0CA4 U+0CBF,image/0CA4-0CBF.svg,ತಿ,TA + I
U+0CA5 U+0CBF,image/0CA5-0CBF.svg,ಥಿ,THA + I
U+0CA6 U+0CBF,image/0CA6-0CBF.svg,ದಿ,DA + I
U+0CA7 U+0CBF,image/0CA7-0CBF.svg,ಧಿ,DHA + I
U+0CA8 U+0CBF,image/0CA8-0CBF.svg,ನಿ,NA + I
