codepoint, imagepath, rawcode, desc
U+0C95 U+0CCD U+0C95 , image/0C95-0CCD-0C95.jpg,  ಕ್ಕ,	KA + HALANT + KA
U+0C95 U+0CCD U+0C96 , image/0C95-0CCD-0C96.jpg,  ಕ್ಖ ,	KA + HALANT + KHA
U+0C95 U+0CCD U+0C97 , image/0C95-0CCD-0C97.jpg,  ಕ್ಗ ,	KA + HALANT + GA
U+0C95 U+0CCD U+0C98 , image/0C95-0CCD-0C98.jpg,  ಕ್ಘ ,	KA + HALANT + GHA
U+0C95 U+0CCD U+0C99 , image/0C95-0CCD-0C99.jpg,  ಕ್ಙ,	KA + HALANT + NGA
U+0C95 U+0CCD U+0C9A , image/0C95-0CCD-0C9A.jpg,  ಕ್ಚ ,	KA + HALANT + CA
U+0C95 U+0CCD U+0C9B , image/0C95-0CCD-0C9B.jpg,  ಕ್ಛ ,	KA + HALANT + CHA
U+0C95 U+0CCD U+0C9C , image/0C95-0CCD-0C9C.jpg,  ಕ್ಜ ,	KA + HALANT + JA
U+0C95 U+0CCD U+0C9D , image/0C95-0CCD-0C9D.jpg,  ಕ್ಝ ,	KA + HALANT + JHA
U+0C95 U+0CCD U+0C9E , image/0C95-0CCD-0C9E.jpg,  ಕ್ಞ ,	KA + HALANT + NYA
U+0C95 U+0CCD U+0C9F , image/0C95-0CCD-0C9F.jpg,  ಕ್ಟ ,	KA + HALANT + TTA
U+0C95 U+0CCD U+0CA0 , image/0C95-0CCD-0CA0.jpg,  ಕ್ಠ,	KA + HALANT + TTHA
U+0C95 U+0CCD U+0CA1 , image/0C95-0CCD-0CA1.jpg,  ಕ್ಡ,	KA + HALANT + DDA
U+0C95 U+0CCD U+0CA2 , image/0C95-0CCD-0CA2.jpg,  ಕ್ಢ,	KA + HALANT + DDHA
U+0C95 U+0CCD U+0CA3 , image/0C95-0CCD-0CA3.jpg,  ಕ್ಣ,	KA + HALANT + NNA
U+0C95 U+0CCD U+0CA4 , image/0C95-0CCD-0CA4.jpg,  ಕ್ತ,	KA + HALANT + TA
U+0C95 U+0CCD U+0CA5 , image/0C95-0CCD-0CA5.jpg,  ಕ್ಥ,	KA + HALANT + THA
U+0C95 U+0CCD U+0CA6 , image/0C95-0CCD-0CA6.jpg,  ಕ್ದ,	KA + HALANT + DA
U+0C95 U+0CCD U+0CA7 , image/0C95-0CCD-0CA7.jpg,  ಕ್ಧ,	KA + HALANT + DHA
U+0C95 U+0CCD U+0CA8 , image/0C95-0CCD-0CA8.jpg,  ಕ್ನ,	KA + HALANT + NA
U+0C95 U+0CCD U+0CAA , image/0C95-0CCD-0CAA.jpg,  ಕ್ಪ,	KA + HALANT + PA
U+0C95 U+0CCD U+0CAB , image/0C95-0CCD-0CAB.jpg,  ಕ್ಫ,	KA + HALANT + PHA
U+0C95 U+0CCD U+0CAC , image/0C95-0CCD-0CAC.jpg,  ಕ್ಬ ,	KA + HALANT + BA
U+0C95 U+0CCD U+0CAD , image/0C95-0CCD-0CAD.jpg,  ಕ್ಭ ,	KA + HALANT + BHA
U+0C95 U+0CCD U+0CAE , image/0C95-0CCD-0CAE.jpg,  ಕ್ಮ,	KA + HALANT + MA
U+0C95 U+0CCD U+0CAF , image/0C95-0CCD-0CAF.jpg,  ಕ್ಯ,	KA + HALANT + YA
U+0C95 U+0CCD U+0CB0 , image/0C95-0CCD-0CB0.jpg,  ಕ್ರ ,	KA + HALANT + RA
U+0C95 U+0CCD U+0CB2 , image/0C95-0CCD-0CB2.jpg,  ಕ್ಲ,	KA + HALANT + LA
U+0C95 U+0CCD U+0CB3 , image/0C95-0CCD-0CB3.jpg,  ಕ್ಳ,	KA + HALANT + LLA
U+0C95 U+0CCD U+0CB5 , image/0C95-0CCD-0CB5.jpg,  ಕ್ವ,    KA + HALANT + VA
U+0C95 U+0CCD U+0CB6 , image/0C95-0CCD-0CB6.jpg,  ಕ್ಶ,	KA + HALANT + SHA
U+0C95 U+0CCD U+0CB7 , image/0C95-0CCD-0CB7.jpg,  ಕ್ಷ,	KA + HALANT + SSA
U+0C95 U+0CCD U+0CB8 , image/0C95-0CCD-0CB8.jpg,  ಕ್ಸ,	KA + HALANT + SA
U+0C95 U+0CCD U+0CB9 , image/0C95-0CCD-0CB9.jpg,  ಕ್ಹ,	KA + HALANT + HA
U+0CA4 U+0CCD U+0C95 , image/0CA4-0CCD-0C95.jpg,  ತ್ಕ,  TA + HALANT + KA	
U+0CA4 U+0CCD U+0C96 , image/0CA4-0CCD-0C96.jpg,  ತ್ಖ ,	TA + HALANT + KHA
U+0CA4 U+0CCD U+0C97 , image/0CA4-0CCD-0C97.jpg,  ತ್ಗ ,	TA + HALANT + GA
U+0CA4 U+0CCD U+0C98 , image/0CA4-0CCD-0C98.jpg,  ತ್ಘ ,	TA + HALANT + GHA
U+0CA4 U+0CCD U+0C99 , image/0CA4-0CCD-0C99.jpg,  ತ್ಙ ,	TA + HALANT + NGA
U+0CA4 U+0CCD U+0C9A , image/0CA4-0CCD-0C9A.jpg,  ತ್ಚ ,	TA + HALANT + CA
U+0CA4 U+0CCD U+0C9B , image/0CA4-0CCD-0C9B.jpg,  ತ್ಛ ,	TA + HALANT + CHA
U+0CA4 U+0CCD U+0C9C , image/0CA4-0CCD-0C9C.jpg,  ತ್ಜ ,	TA + HALANT + JA
U+0CA4 U+0CCD U+0C9D , image/0CA4-0CCD-0C9D.jpg,  ತ್ಝ ,	TA + HALANT + JHA 
U+0CA4 U+0CCD U+0C9E , image/0CA4-0CCD-0C9E.jpg,  ತ್ಞ,	TA + HALANT + NYA
U+0CA4 U+0CCD U+0C9F , image/0CA4-0CCD-0C9F.jpg,  ತ್ಟ ,	TA + HALANT + TTA
U+0CA4 U+0CCD U+0CA0 , image/0CA4-0CCD-0CA0.jpg,  ತ್ಠ ,	TA + HALANT + TTHA
U+0CA4 U+0CCD U+0CA1 , image/0CA4-0CCD-0CA1.jpg,  ತ್ಡ ,	TA + HALANT + DDA
U+0CA4 U+0CCD U+0CA2 , image/0CA4-0CCD-0CA2.jpg,  ತ್ಢ ,	TA + HALANT + DDHA
U+0CA4 U+0CCD U+0CA3 , image/0CA4-0CCD-0CA3.jpg,  ತ್ಣ ,	TA + HALANT + NNA
U+0CA4 U+0CCD U+0CA4 , image/0CA4-0CCD-0CA4.jpg,  ತ್ತ ,	TA + HALANT + TA
U+0CA4 U+0CCD U+0CA5 , image/0CA4-0CCD-0CA5.jpg,  ತ್ಥ ,	TA + HALANT + THA
U+0CA4 U+0CCD U+0CA6 , image/0CA4-0CCD-0CA6.jpg,  ತ್ದ ,	TA + HALANT + DA
U+0CA4 U+0CCD U+0CA7 , image/0CA4-0CCD-0CA7.jpg,  ತ್ಧ ,	TA + HALANT + DHA
U+0CA4 U+0CCD U+0CA8 , image/0CA4-0CCD-0CA8.jpg,  ತ್ನ ,	TA + HALANT + NA
U+0CA4 U+0CCD U+0CAA , image/0CA4-0CCD-0CAA.jpg,  ತ್ಪ ,	TA + HALANT + PA
U+0CA4 U+0CCD U+0CAB , image/0CA4-0CCD-0CAB.jpg,  ತ್ಫ ,	TA + HALANT + PHA
U+0CA4 U+0CCD U+0CAC , image/0CA4-0CCD-0CAC.jpg,  ತ್ಬ ,	TA + HALANT + BA
U+0CA4 U+0CCD U+0CAD , image/0CA4-0CCD-0CAD.jpg,  ತ್ಭ ,	TA + HALANT + BHA
U+0CA4 U+0CCD U+0CAE , image/0CA4-0CCD-0CAE.jpg,  ತ್ಮ,	TA + HALANT + MA
U+0CA4 U+0CCD U+0CAF , image/0CA4-0CCD-0CAF.jpg,  ತ್ಯ ,	TA + HALANT + YA
U+0CA4 U+0CCD U+0CB0 , image/0CA4-0CCD-0CB0.jpg,  ತ್ರ,	TA + HALANT + RA
U+0CA4 U+0CCD U+0CB2 , image/0CA4-0CCD-0CB2.jpg, ತ್ಲ,	TA + HALANT + LA
U+0CA4 U+0CCD U+0CB3 , image/0CA4-0CCD-0CB3.jpg, ತ್ಳ,	TA + HALANT + LLA
U+0CA4 U+0CCD U+0CB5 , image/0CA4-0CCD-0CB5.jpg,  ತ್ವ,	TA + HALANT + VA
U+0CA4 U+0CCD U+0CB6 , image/0CA4-0CCD-0CB6.jpg,  ತ್ಶ,	TA + HALANT + SHA
U+0CA4 U+0CCD U+0CB7 , image/0CA4-0CCD-0CB7.jpg,  ತ್ಷ,	TA + HALANT + SSA
U+0CA4 U+0CCD U+0CB8 , image/0CA4-0CCD-0CB8.jpg,  ತ್ಸ,	TA + HALANT + SA
U+0CA4 U+0CCD U+0CB9 , image/0CA4-0CCD-0CB9.jpg,  ತ್ಹ,	TA + HALANT + HA
U+0CA8 U+0CCD U+0C95 , image/0CA8-0CCD-0C95.jpg,  ನ್ಕ, NA + HALANT + KA
U+0CA8 U+0CCD U+0C96 , image/0CA8-0CCD-0C96.jpg,  ನ್ಖ ,	NA + HALANT + KHA
U+0CA8 U+0CCD U+0C97 , image/0CA8-0CCD-0C97.jpg,  ನ್ಗ ,	NA + HALANT + GA
U+0CA8 U+0CCD U+0C98 , image/0CA8-0CCD-0C98.jpg,  ನ್ಘ ,	NA + HALANT + GHA
U+0CA8 U+0CCD U+0C99 , image/0CA8-0CCD-0C99.jpg,  ನ್ಙ ,	NA + HALANT + NGA
U+0CA8 U+0CCD U+0C9A , image/0CA8-0CCD-0C9A.jpg,  ನ್ಚ , NA + HALANT + CA
U+0CA8 U+0CCD U+0C9B , image/0CA8-0CCD-0C9B.jpg,  ನ್ಛ , NA + HALANT + CHA
