codepoint,imagepath,rawcode,desc
U+0C95 U+0CCD U+0C95,image/0C95-0CCD-0C95.svg,ಕ್ಕ,KA + HALANT + KA
U+0C95 U+0CCD U+0C96,image/0C95-0CCD-0C96.svg,ಕ್ಖ ,KA + HALANT + KHA
U+0C95 U+0CCD U+0C97,image/0C95-0CCD-0C97.svg,ಕ್ಗ ,KA + HALANT + GA
U+0C95 U+0CCD U+0C98,image/0C95-0CCD-0C98.svg,ಕ್ಘ ,KA + HALANT + GHA
U+0C95 U+0CCD U+0C99,image/0C95-0CCD-0C99.svg,ಕ್ಙ,KA + HALANT + NGA
U+0C95 U+0CCD U+0C9A,image/0C95-0CCD-0C9A.svg,ಕ್ಚ ,KA + HALANT + CA
U+0C95 U+0CCD U+0C9B,image/0C95-0CCD-0C9B.svg,ಕ್ಛ ,KA + HALANT + CHA
U+0C95 U+0CCD U+0C9C,image/0C95-0CCD-0C9C.svg,ಕ್ಜ ,KA + HALANT + JA
U+0C95 U+0CCD U+0C9D,image/0C95-0CCD-0C9D.svg,ಕ್ಝ ,KA + HALANT + JHA
U+0C95 U+0CCD U+0C9E,image/0C95-0CCD-0C9E.svg,ಕ್ಞ ,KA + HALANT + NYA
U+0C95 U+0CCD U+0C9F,image/0C95-0CCD-0C9F.svg,ಕ್ಟ ,KA + HALANT + TTA
U+0C95 U+0CCD U+0CA0,image/0C95-0CCD-0CA0.svg,ಕ್ಠ,KA + HALANT + TTHA
U+0C95 U+0CCD U+0CA1,image/0C95-0CCD-0CA1.svg,ಕ್ಡ,KA + HALANT + DDA
U+0C95 U+0CCD U+0CA2,image/0C95-0CCD-0CA2.svg,ಕ್ಢ,KA + HALANT + DDHA
U+0C95 U+0CCD U+0CA3,image/0C95-0CCD-0CA3.svg,ಕ್ಣ,KA + HALANT + NNA
U+0C95 U+0CCD U+0CA4,image/0C95-0CCD-0CA4.svg,ಕ್ತ,KA + HALANT + TA
U+0C95 U+0CCD U+0CA5,image/0C95-0CCD-0CA5.svg,ಕ್ಥ,KA + HALANT + THA
U+0C95 U+0CCD U+0CA6,image/0C95-0CCD-0CA6.svg,ಕ್ದ,KA + HALANT + DA
U+0C95 U+0CCD U+0CA7,image/0C95-0CCD-0CA7.svg,ಕ್ಧ,KA + HALANT + DHA
U+0C95 U+0CCD U+0CA8,image/0C95-0CCD-0CA8.svg,ಕ್ನ,KA + HALANT + NA
U+0C95 U+0CCD U+0CAA,image/0C95-0CCD-0CAA.svg,ಕ್ಪ,KA + HALANT + PA
U+0C95 U+0CCD U+0CAB,image/0C95-0CCD-0CAB.svg,ಕ್ಫ,KA + HALANT + PHA
U+0C95 U+0CCD U+0CAC,image/0C95-0CCD-0CAC.svg,ಕ್ಬ ,KA + HALANT + BA
U+0C95 U+0CCD U+0CAD,image/0C95-0CCD-0CAD.svg,ಕ್ಭ ,KA + HALANT + BHA
U+0C95 U+0CCD U+0CAE,image/0C95-0CCD-0CAE.svg,ಕ್ಮ,KA + HALANT + MA
U+0C95 U+0CCD U+0CAF,image/0C95-0CCD-0CAF.svg,ಕ್ಯ,KA + HALANT + YA
U+0C95 U+0CCD U+0CB0,image/0C95-0CCD-0CB0.svg,ಕ್ರ ,KA + HALANT + RA
U+0C95 U+0CCD U+0CB2,image/0C95-0CCD-0CB2.svg,ಕ್ಲ,KA + HALANT + LA
U+0C95 U+0CCD U+0CB3,image/0C95-0CCD-0CB3.svg,ಕ್ಳ,KA + HALANT + LLA
U+0C95 U+0CCD U+0CB5,image/0C95-0CCD-0CB5.svg,ಕ್ವ,KA + HALANT + VA
U+0C95 U+0CCD U+0CB6,image/0C95-0CCD-0CB6.svg,ಕ್ಶ,KA + HALANT + SHA
U+0C95 U+0CCD U+0CB7,image/0C95-0CCD-0CB7.svg,ಕ್ಷ,KA + HALANT + SSA
U+0C95 U+0CCD U+0CB8,image/0C95-0CCD-0CB8.svg,ಕ್ಸ,KA + HALANT + SA
U+0C95 U+0CCD U+0CB9,image/0C95-0CCD-0CB9.svg,ಕ್ಹ,KA + HALANT + HA
U+0CA4 U+0CCD U+0C95,image/0CA4-0CCD-0C95.svg,ತ್ಕ,TA + HALANT + KA	
U+0CA4 U+0CCD U+0C96,image/0CA4-0CCD-0C96.svg,ತ್ಖ ,TA + HALANT + KHA
U+0CA4 U+0CCD U+0C97,image/0CA4-0CCD-0C97.svg,ತ್ಗ ,TA + HALANT + GA
U+0CA4 U+0CCD U+0C98,image/0CA4-0CCD-0C98.svg,ತ್ಘ ,TA + HALANT + GHA
U+0CA4 U+0CCD U+0C99,image/0CA4-0CCD-0C99.svg,ತ್ಙ ,TA + HALANT + NGA
U+0CA4 U+0CCD U+0C9A,image/0CA4-0CCD-0C9A.svg,ತ್ಚ ,TA + HALANT + CA
U+0CA4 U+0CCD U+0C9B,image/0CA4-0CCD-0C9B.svg,ತ್ಛ ,TA + HALANT + CHA
U+0CA4 U+0CCD U+0C9C,image/0CA4-0CCD-0C9C.svg,ತ್ಜ ,TA + HALANT + JA
U+0CA4 U+0CCD U+0C9D,image/0CA4-0CCD-0C9D.svg,ತ್ಝ ,TA + HALANT + JHA 
U+0CA4 U+0CCD U+0C9E,image/0CA4-0CCD-0C9E.svg,ತ್ಞ,TA + HALANT + NYA
U+0CA4 U+0CCD U+0C9F,image/0CA4-0CCD-0C9F.svg,ತ್ಟ ,TA + HALANT + TTA
U+0CA4 U+0CCD U+0CA0,image/0CA4-0CCD-0CA0.svg,ತ್ಠ ,TA + HALANT + TTHA
U+0CA4 U+0CCD U+0CA1,image/0CA4-0CCD-0CA1.svg,ತ್ಡ ,TA + HALANT + DDA
U+0CA4 U+0CCD U+0CA2,image/0CA4-0CCD-0CA2.svg,ತ್ಢ ,TA + HALANT + DDHA
U+0CA4 U+0CCD U+0CA3,image/0CA4-0CCD-0CA3.svg,ತ್ಣ ,TA + HALANT + NNA
U+0CA4 U+0CCD U+0CA4,image/0CA4-0CCD-0CA4.svg,ತ್ತ ,TA + HALANT + TA
U+0CA4 U+0CCD U+0CA5,image/0CA4-0CCD-0CA5.svg,ತ್ಥ ,TA + HALANT + THA
U+0CA4 U+0CCD U+0CA6,image/0CA4-0CCD-0CA6.svg,ತ್ದ ,TA + HALANT + DA
U+0CA4 U+0CCD U+0CA7,image/0CA4-0CCD-0CA7.svg,ತ್ಧ ,TA + HALANT + DHA
U+0CA4 U+0CCD U+0CA8,image/0CA4-0CCD-0CA8.svg,ತ್ನ ,TA + HALANT + NA
U+0CA4 U+0CCD U+0CAA,image/0CA4-0CCD-0CAA.svg,ತ್ಪ ,TA + HALANT + PA
U+0CA4 U+0CCD U+0CAB,image/0CA4-0CCD-0CAB.svg,ತ್ಫ ,TA + HALANT + PHA
U+0CA4 U+0CCD U+0CAC,image/0CA4-0CCD-0CAC.svg,ತ್ಬ ,TA + HALANT + BA
