codepoint,imagepath,rawcode,desc
U+0901,image/0901.svg,ँ,DEVNAGARI SIGN CHANDRABINDU
U+0902,image/0902.svg,ं,DEVNAGARI SIGN ANUSVARA
U+0903,image/0903.svg,ः,DEVNAGARI SIGN VISARGA
U+0905,image/0905.svg,अ,DEVNAGARI LETTER A
U+0906,image/0906.svg,आ,DEVNAGARI LETTER AA
U+0907,image/0907.svg,इ,DEVNAGARI LETTER I
U+0908,image/0908.svg,ई,DEVNAGARI LETTER II
U+0909,image/0909.svg,उ,DEVNAGARI LETTER U
U+090A,image/090A.svg,ऊ,DEVNAGARI LETTER UU
U+090B,image/090B.svg,ऋ,DEVNAGARI LETTER VOCALIC R
U+090C,image/090C.svg,ऌ,DEVNAGARI LETTER VOCALIC L
U+090D,image/090D.svg,ऍ,DEVNAGARI LETTER CANDRA E
U+090E,image/090E.svg,ऎ,DEVNAGARI LETTER SHORT E
U+090F,image/090F.svg,ए,DEVNAGARI LETTER E
U+0910,image/0910.svg,ऐ,DEVNAGARI LETTER AI
U+0911,image/0911.svg,ऑ,DEVNAGARI LETTER CANDRA O
U+0912,image/0912.svg,ऒ,DEVNAGARI LETTER SHORTO
U+0913,image/0913.svg,ओ,DEVNAGARI LETTER O
U+0914,image/0914.svg,औ,DEVNAGARI LETTER AU
U+0915,image/0915.svg,क,DEVNAGARI LETTER KA
U+0916,image/0916.svg,ख,DEVNAGARI LETTER KHA
U+0917,image/0917.svg,ग,DEVNAGARI LETTER GA
U+0918,image/0918.svg,घ,DEVNAGARI LETTER GHA
U+0919,image/0919.svg,ङ,DEVNAGARI LETTER NGA
U+091A,image/091A.svg,च,DEVNAGARI LETTER CA
U+091B,image/091B.svg,छ,DEVNAGARI LETTER CHA
U+091C,image/091C.svg,ज,DEVNAGARI LETTER JA
U+091D,image/091D.svg,झ,DEVNAGARI LETTER JHA
U+091E,image/091E.svg,ञ,DEVNAGARI LETTER NYA
U+091F,image/091F.svg,ट,DEVNAGARI LETTER TTA
U+0920,image/0920.svg,ठ,DEVNAGARI LETTER TTHA
U+0921,image/0921.svg,ड,DEVNAGARI LETTER DDA
U+0922,image/0922.svg,ढ,DEVNAGARI LETTER DDHA
U+0923,image/0923.svg,ण,DEVNAGARI LETTER NNA
U+0924,image/0924.svg,त,DEVNAGARI LETTER TA
U+0925,image/0925.svg,थ,DEVNAGARI LETTER THA
U+0926,image/0926.svg,द,DEVNAGARI LETTER DA
U+0927,image/0927.svg,ध,DEVNAGARI LETTER DHA
U+0928,image/0928.svg,न,DEVNAGARI LETTER NA
U+0929,image/0929.svg,ऩ,DEVNAGARI LETTER NNNA
U+092A,image/092A.svg,प,DEVNAGARI LETTER PA
U+092B,image/092B.svg,फ,DEVNAGARI LETTER PHA
U+092C,image/092C.svg,ब,DEVNAGARI LETTER BA
U+092D,image/092D.svg,भ,DEVNAGARI LETTER BHA
U+092E,image/092E.svg,म,DEVNAGARI LETTER MA
U+092F,image/092F.svg,य,DEVNAGARI LETTER YA
U+0930,image/0930.svg,र,DEVNAGARI LETTER RA
U+0931,image/0931.svg,ऱ,DEVNAGARI LETTER RRA
U+0932,image/0932.svg,ल,DEVNAGARI LETTER LA
U+0933,image/0933.svg,ळ,DEVNAGARI LETTER LLA
U+0934,image/0934.svg,ऴ,DEVNAGARI LETTER LLLA
U+0935,image/0935.svg,व,DEVNAGARI LETTER VA
U+0936,image/0936.svg,श,DEVNAGARI LETTER SHA
U+0937,image/0937.svg,ष,DEVNAGARI LETTER SSA
U+0938,image/0938.svg,स,DEVNAGARI LETTER SA
U+0939,image/0939.svg,ह,DEVNAGARI LETTER HA
U+093C,image/093C.svg,़,DEVNAGARI SIGN NUKTA
U+093D,image/093D.svg,ऽ,DEVNAGARI SIGN AVAGRAHA
U+093E,image/093E.svg,ा,DEVNAGARI VOWEL SIGN AA
U+093F,image/093F.svg,ि,DEVNAGARI VOWEL SIGN I
U+0940,image/0940.svg,ी,DEVNAGARI VOWEL SIGN II
U+0941,image/0941.svg,ु,DEVNAGARI VOWEL SIGN U
U+0942,image/0942.svg,ू,DEVNAGARI VOWEL SIGN UU
