codepoint,imagepath,rawcode,desc
U+0915 U+0901,image/0915-0901.svg,कँ,KA + CHANDRABINDU
U+0915 U+0941,image/0915-0941.svg,कु,KA + U
U+0915 U+0942,image/0915-0942.svg,कू,KA + UU
U+0915 U+0943,image/0915-0943.svg,कृ,KA + VOCALIC R
U+0915 U+0944,image/0915-0944.svg,कॄ,KA + VOCALIC RR
U+0915 U+0945,image/0915-0945.svg,कॅ,KA + CANDRA E
U+0915 U+0946,image/0915-0946.svg,कॆ,KA + SHORT E
U+0915 U+0947,image/0915-0947.svg,के,KA + E
U+0915 U+0948,image/0915-0948.svg,कै,KA + AI
U+0915 U+094D,image/0915-094D.svg,क्,KA + HALANT
U+0916 U+0901,image/0916-0901.svg,खँ,KHA + CHANDRABINDU
U+0916 U+0941,image/0916-0941.svg,खु,KHA + U
U+0916 U+0942,image/0916-0942.svg,खू,KHA + UU
U+0916 U+0943,image/0916-0943.svg,खृ,KHA + VOCALIC R
U+0916 U+0944,image/0916-0944.svg,खॄ,KHA + VOCALIC RR
U+0916 U+0945,image/0916-0945.svg,खॅ,KHA + CANDRA E
U+0916 U+0946,image/0916-0946.svg,खॆ,KHA + SHORT E
U+0916 U+0947,image/0916-0947.svg,खे,KHA + E
U+0916 U+0948,image/0916-0948.svg,खै,KHA + AI
U+0916 U+094D,image/0916-094D.svg,ख्,KHA + HALANT
U+0917 U+0901,image/0917-0901.svg,गँ,GA + CHANDRABINDU
U+0917 U+0941,image/0917-0941.svg,गु,GA + U
U+0917 U+0942,image/0917-0942.svg,गू,GA + UU
U+0917 U+0943,image/0917-0943.svg,गृ,GA + VOCALIC R
U+0917 U+0944,image/0917-0944.svg,गॄ,GA + VOCALIC RR
U+0917 U+0945,image/0917-0945.svg,गॅ,GA + CANDRA E
U+0917 U+0946,image/0917-0946.svg,गॆ,GA + SHORT E
U+0917 U+0947,image/0917-0947.svg,गे,GA + E
U+0917 U+0948,image/0917-0948.svg,गै,GA + AI
U+0917 U+094D,image/0917-094D.svg,ग्,GA + HALANT
U+0918 U+0901,image/0918-0901.svg,घँ,GHA + CHANDRABINDU
U+0918 U+0941,image/0918-0941.svg,घु,GHA + U
U+0918 U+0942,image/0918-0942.svg,घू,GHA + UU
U+0918 U+0943,image/0918-0943.svg,घृ,GHA + VOCALIC R
U+0918 U+0944,image/0918-0944.svg,घॄ,GHA + VOCALIC RR
U+0918 U+0945,image/0918-0945.svg,घॅ,GHA + CANDRA E
U+0918 U+0946,image/0918-0946.svg,घॆ,GHA + SHORT E
U+0918 U+0947,image/0918-0947.svg,घे,GHA + E
U+0918 U+0948,image/0918-0948.svg,घै,GHA + AI
U+0918 U+094D,image/0918-094D.svg,घ्,GHA + HALANT
U+0919 U+0901,image/0919-0901.svg,ङँ,NGA + CHANDRABINDU
U+0919 U+0941,image/0919-0941.svg,ङु,NGA + U
U+0919 U+0942,image/0919-0942.svg,ङू,NGA + UU
U+0919 U+0943,image/0919-0943.svg,ङृ,NGA + VOCALIC R
U+0919 U+0944,image/0919-0944.svg,ङॄ,NGA + VOCALIC RR
U+0919 U+0945,image/0919-0945.svg,ङॅ,NGA + CANDRA E
U+0919 U+0946,image/0919-0946.svg,ङॆ,NGA + SHORT E
U+0919 U+0947,image/0919-0947.svg,ङे,NGA + E
U+0919 U+0948,image/0919-0948.svg,ङै,NGA + AI
U+0919 U+094D,image/0919-094D.svg,ङ्,NGA + HALANT
U+091A U+0901,image/091A-0901.svg,चँ,CA + CHANDRABINDU
U+091A U+0941,image/091A-0941.svg,चु,CA + U
U+091A U+0942,image/091A-0942.svg,चू,CA + UU
U+091A U+0943,image/091A-0943.svg,चृ,CA + VOCALIC R
