codepoint, imagepath, rawcode, desc
 U+0B15 U+0B4D U+0B37, image/0B15-0B4D-0B37.jpg, କ୍ଷ, KA VIRAMA SSA
 U+0B19 U+0B4D U+0B15, image/0B19-0B4D-0B15.jpg, ଙ୍କ, NGA VIRAMA KA
 U+0B19 U+0B4D U+0B16, image/0B19-0B4D-0B16.jpg, ଙ୍ଖ, NGA VIRAMA KHA 
 U+0B19 U+0B4D U+0B17, image/0B19-0B4D-0B17.jpg, ଙ୍ଗ, NGA VIRAMA GA 
 U+0B19 U+0B4D U+0B18, image/0B19-0B4D-0B18.jpg, ଙ୍ଘ, NGA VIRAMA GHA 
 U+0B19 U+0B4D U+0B33, image/0B19-0B4D-0B33.jpg, ଙ୍ଳ, NGA VIRAMA LLA 			(C)
 U+0B19 U+0B4D U+0B15 U+0B4D U+0B24, image/0B19-0B4D-0B15-0B4D-0B24.jpg, ଙ୍କ୍ତ, NGA VIRAMA KA VIRAMA TA		(B)
 U+0B1A U+0B4D U+0B1A, image/0B1A-0B4D-0B1A.jpg, ଚ୍ଚ, CA VIRAMA CA
 U+0B1A U+0B4D U+0B1B, image/0B1A-0B4D-0B1B.jpg, ଚ୍ଛ, CA VIRAMA CHA
 U+0B1C U+0B4D U+0B1C, image/0B1C-0B4D-0B1C.jpg, ଜ୍ଜ, JA VIRAMA JA
 U+0B1C U+0B4D U+0B1D, image/0B1C-0B4D-0B1D.jpg, ଜ୍ଝ, JA VIRAMA JHA
 U+0B1C U+0B4D U+0B1E, image/0B1C-0B4D-0B1E.jpg, ଜ୍ଞ, JA VIRAMA NYA 
 U+0B1E U+0B4D U+0B1A, image/0B1E-0B4D-0B1A.jpg, ଞ୍ଚ, NYA VIRAMA CA 
 U+0B1E U+0B4D U+0B1B, image/0B1E-0B4D-0B1B.jpg, ଞ୍ଛ, NYA VIRAMA CHA 
 U+0B1E U+0B4D U+0B1C, image/0B1E-0B4D-0B1C.jpg, ଞ୍ଜ, NYA VIRAMA JA 
 U+0B1F U+0B4D U+0B1F, image/0B1F-0B4D-0B1F.jpg, ଟ୍ଟ, TTA VIRAMA TTA 
 U+0B23 U+0B4D U+0B1F, image/0B23-0B4D-0B1F.jpg, ଣ୍ଟ, NNA VIRAMA TTA 
 U+0B23 U+0B4D U+0B20, image/0B23-0B4D-0B20.jpg, ଣ୍ଠ, NNA VIRAMA TTHA 
 U+0B23 U+0B4D U+0B21, image/0B23-0B4D-0B21.jpg, ଣ୍ଡ, NNA VIRAMA DDA 
 U+0B23 U+0B4D U+0B22, image/0B23-0B4D-0B22.jpg, ଣ୍ଢ, NNA VIRAMA DDHA 
 U+0B23 U+0B4D U+0B23, image/0B23-0B4D-0B23.jpg, ଣ୍ଣ, NNA VIRAMA NNA 
 U+0B24 U+0B4D U+0B15, image/0B24-0B4D-0B15.jpg, ତ୍କ, TA VIRAMA KA 
 U+0B24 U+0B4D U+0B24, image/0B24-0B4D-0B24.jpg, ତ୍ତ, TA VIRAMA TA 				(A)
 U+0B24 U+0B4D U+0B25, image/0B24-0B4D-0B25.jpg, ତ୍ଥ, TA VIRAMA THA 
 U+0B24 U+0B4D U+0B28, image/0B24-0B4D-0B28.jpg, ତ୍ନ, TA VIRAMA NA 			(A)
 U+0B24 U+0B4D U+0B38, image/0B24-0B4D-0B38.jpg, ତ୍ସ, TA VIRAMA SA 
