codepoint,imagepath,rawcode,desc
U+0B15 U+0B4D U+0B15,image/0B15-0B4D-0B15.svg,କ୍କ,KA VIRAMA KA 
U+0B15 U+0B4D U+0B16,image/0B15-0B4D-0B16.svg,କ୍ଖ,KA VIRAMA KHA (C)
U+0B15 U+0B4D U+0B17,image/0B15-0B4D-0B17.svg,କ୍ଗ,KA VIRAMA GA (C)
U+0B15 U+0B4D U+0B18,image/0B15-0B4D-0B18.svg,କ୍ଘ,KA VIRAMA GHA (C)
U+0B15 U+0B4D U+0B1A,image/0B15-0B4D-0B1A.svg,କ୍ଚ,KA VIRAMA CA (C)
U+0B15 U+0B4D U+0B1B,image/0B15-0B4D-0B1B.svg,କ୍ଛ,KA VIRAMA CHA (C)
U+0B15 U+0B4D U+0B1C,image/0B15-0B4D-0B1C.svg,କ୍ଜ,KA VIRAMA JA (A)
U+0B15 U+0B4D U+0B1D,image/0B15-0B4D-0B1D.svg,କ୍ଝ,KA VIRAMA JHA (B)
U+0B15 U+0B4D U+0B1F,image/0B15-0B4D-0B1F.svg,କ୍ଟ,KA VIRAMA TTA (A)
U+0B15 U+0B4D U+0B20,image/0B15-0B4D-0B20.svg,କ୍ଠ,KA VIRAMA TTHA (B)
U+0B15 U+0B4D U+0B21,image/0B15-0B4D-0B21.svg,କ୍ଡ,KA VIRAMA DDA (C)
U+0B15 U+0B4D U+0B22,image/0B15-0B4D-0B22.svg,କ୍ଢ,KA VIRAMA DDHA (C)
U+0B15 U+0B4D U+0B23,image/0B15-0B4D-0B23.svg,କ୍ଣ,KA VIRAMA NNA (C)
U+0B15 U+0B4D U+0B24,image/0B15-0B4D-0B24.svg,କ୍ତ,KA VIRAMA TA (A)
U+0B15 U+0B4D U+0B25,image/0B15-0B4D-0B25.svg,କ୍ଥ,KA VIRAMA THA (A)
U+0B15 U+0B4D U+0B26,image/0B15-0B4D-0B26.svg,କ୍ଦ,KA VIRAMA DA (C)
U+0B15 U+0B4D U+0B27,image/0B15-0B4D-0B27.svg,କ୍ଧ,KA VIRAMA DHA (B)
U+0B15 U+0B4D U+0B28,image/0B15-0B4D-0B28.svg,କ୍ନ,KA VIRAMA NA (A)
U+0B15 U+0B4D U+0B2A,image/0B15-0B4D-0B2A.svg,କ୍ପ,KA VIRAMA PA (C)
U+0B15 U+0B4D U+0B2B,image/0B15-0B4D-0B2B.svg,କ୍ଫ,KA VIRAMA PHA (C)
U+0B15 U+0B4D U+0B2C,image/0B15-0B4D-0B2C.svg,କ୍ବ,KA VIRAMA BA (A)
U+0B15 U+0B4D U+0B2D,image/0B15-0B4D-0B2D.svg,କ୍ଭ,KA VIRAMA BHA (C)
U+0B15 U+0B4D U+0B2E,image/0B15-0B4D-0B2E.svg,କ୍ମ,KA VIRAMA MA (A)
U+0B15 U+0B4D U+0B2F,image/0B15-0B4D-0B2F.svg,କ୍ଯ,KA VIRAMA YA (A)
U+0B15 U+0B4D U+0B30,image/0B15-0B4D-0B30.svg,କ୍ର,KA VIRAMA RA (A)
U+0B15 U+0B4D U+0B32,image/0B15-0B4D-0B32.svg,କ୍ଲ,KA VIRAMA LA (B)
U+0B15 U+0B4D U+0B33,image/0B15-0B4D-0B33.svg,କ୍ଳ,KA VIRAMA LLA (A)
U+0B15 U+0B4D U+0B37,image/0B15-0B4D-0B37.svg,କ୍ଷ,KA VIRAMA SSA
U+0B15 U+0B4D U+0B39,image/0B15-0B4D-0B39.svg,କ୍ହ,KA VIRAMA HA (C)
U+0B16 U+0B4D U+0B30,image/0B16-0B4D-0B30.svg,ଖ୍ର,KHA VIRAMA RA (A)
U+0B17 U+0B4D U+0B30,image/0B17-0B4D-0B30.svg,ଗ୍ର,GA VIRAMA RA (A)
U+0B18 U+0B4D U+0B30,image/0B18-0B4D-0B30.svg,ଘ୍ର,GHA VIRAMA RA (A)
U+0B19 U+0B4D U+0B15,image/0B19-0B4D-0B15.svg,ଙ୍କ,NGA VIRAMA KA
U+0B19 U+0B4D U+0B15 U+0B4D U+0B24,image/0B19-0B4D-0B15-0B4D-0B24.svg,ଙ୍କ୍ତ,NGA VIRAMA KA VIRAMA TA (B)
U+0B19 U+0B4D U+0B16,image/0B19-0B4D-0B16.svg,ଙ୍ଖ,NGA VIRAMA KHA 
