codepoint, imagepath, rawcode, desc
U+0D9A, image/0D9A.jpg, ක, SINHALA LETTER ALPAPRAANA KAYANNA
U+0D9B, image/0D9B.jpg, ඛ, SINHALA LETTER MAHAAPRAANA KAYANNA
U+0D9C, image/0D9C.jpg, ග, SINHALA LETTER ALPAPRAANA GAYANNA
U+0D9D, image/0D9D.jpg, ඝ, SINHALA LETTER MAHAAPRAANA GAYANNA
U+0D9E, image/0D9E.jpg, ඞ, SINHALA LETTER KANTAJA NAASIKYAYA
U+0D9F, image/0D9F.jpg, ඟ, SINHALA LETTER SANYAKA GAYANNA
U+0DA0, image/0DA0.jpg, ච, SINHALA LETTER ALPAPRAANA CAYANNA
U+0DA1, image/0DA1.jpg, ඡ, SINHALA LETTER MAHAAPRAANA CAYANNA
U+0DA2, image/0DA2.jpg, ජ, SINHALA LETTER ALPAPRAANA JAYANNA
U+0DA3, image/0DA3.jpg, ඣ, SINHALA LETTER MAHAAPRAANA JAYANNA
U+0DA4, image/0DA4.jpg, ඤ, SINHALA LETTER TAALUJA NAASIKYAYA
U+0DA5, image/0DA5.jpg, ඥ, SINHALA LETTER TAALUJA SANYOOGA NAASIKYAYA
U+0DA6, image/0DA6.jpg, ඦ, SINHALA LETTER SANYAKA JAYANNA
U+0DA7, image/0DA7.jpg, ට, SINHALA LETTER ALPAPRAANA TTAYANNA
U+0DA8, image/0DA8.jpg, ඨ, SINHALA LETTER MAHAAPRAANA TTAYANNA
U+0DA9, image/0DA9.jpg, ඩ, SINHALA LETTER ALPAPRAANA DDAYANNA
U+0DAA, image/0DAA.jpg, ඪ, SINHALA LETTER MAHAAPRAANA DDAYANNA
U+0DAB, image/0DAB.jpg, ණ, SINHALA LETTER MUURDHAJA NAYANNA
U+0DAC, image/0DAC.jpg, ඬ, SINHALA LETTER SANYAKA DDAYANNA
U+0DAD, image/0DAD.jpg, ත, SINHALA LETTER ALPAPRAANA TAYANNA
U+0DAE, image/0DAE.jpg, ථ, SINHALA LETTER MAHAAPRAANA TAYANNA
U+0DAF, image/0DAF.jpg, ද, SINHALA LETTER ALPAPRAANA DAYANNA
U+0DB0, image/0DB0.jpg, ධ, SINHALA LETTER MAHAAPRAANA DAYANNA
U+0DB1, image/0DB1.jpg, න, SINHALA LETTER DANTAJA NAYANNA
U+0DB3, image/0DB3.jpg, ඳ, SINHALA LETTER SANYAKA NAYANNA
U+0DB4, image/0DB4.jpg, ප, SINHALA LETTER ALPAPRAANA DAYANNA
U+0DB5, image/0DB5.jpg, ඵ, SINHALA LETTER MAHAAPRAANA PAYANNA
U+0DB6, image/0DB6.jpg, බ, SINHALA LETTER ALPAPRAANA BAYANNA
U+0DB7, image/0DB7.jpg, භ, SINHALA LETTER MAHAAPRAANA BAYANNA
U+0DB8, image/0DB8.jpg, ම, SINHALA LETTER MAYANNA 
U+0DB9, image/0DB9.jpg, ඹ, SINHALA LETTER AMBA BAYANNA
U+0DBA, image/0DBA.jpg, ය, SINHALA LETTER YAYANNA 
U+0DBB, image/0DBB.jpg, ර, SINHALA LETTER RAYANNA 
U+0DBD, image/0DBD.jpg, ල, SINHALA LETTER DANTAJA LAYANNA
U+0DC0, image/0DC0.jpg, ව, SINHALA LETTER VAYANNA 
U+0DC1, image/0DC1.jpg, ශ, SINHALA LETTER TAALUJA SAYANNA
U+0DC2, image/0DC2.jpg, ෂ, SINHALA LETTER MUURDHAJA SAYANNA
U+0DC3, image/0DC3.jpg, ස, SINHALA LETTER DANTAJA SAYANNA
U+0DC4, image/0DC4.jpg, හ, SINHALA LETTER HAYANNA 
U+0DC5, image/0DC5.jpg, ළ, SINHALA LETTER MUURDHAJA LAYANNA
U+0DC6, image/0DC6.jpg, ෆ, SINHALA LETTER FAYANNA 
