codepoint, imagepath, rawcode, desc

U+0DCF, image/0DCF.jpg, ා, SINHALA VOWEL SIGN AELA-PILLA 
U+0DD0, image/0DD0.jpg, ැ, SINHALA VOWEL SIGN KETTI AEDA-PILLA
U+0DD1, image/0DD1.jpg, ෑ, SINHALA VOWEL SIGN DIGA AEDA-PILLA
U+0DD2, image/0DD2.jpg, ි, SINHALA VOWEL SIGN KETTI IS-PILLA
U+0DD3, image/0DD3.jpg, ී, SINHALA VOWEL SIGN DIGA IS-PILLA
U+0DD4, image/0DD4.jpg, ු, SINHALA VOWEL SIGN KETTI PAA-PILLA
U+0DD6, image/0DD6.jpg, ූ, SINHALA VOWEL SIGN DIGA PAA-PILLA
U+0DD8, image/0DD8.jpg, ෘ, SINHALA VOWEL SIGN GAETTA-PILLA 
U+0DD9, image/0DD9.jpg, ෙ, SINHALA VOWEL SIGN KOMBUVA 
U+0DDA, image/0DDA.jpg, ේ, SINHALA VOWEL SIGN DIGA KOMBUVA
U+0DDB, image/0DDB.jpg, ෛ, SINHALA VOWEL SIGN KOMBUVA DEKA
U+0DDC, image/0DDC.jpg, ො, SINHALA VOWEL SIGN KOMBUVA HAA AELA-PILLA
U+0DDD, image/0DDD.jpg, ෝ, SINHALA VOWEL SIGN KOMBUVA HAA DIGA AELA-PILLA
U+0DDE, image/0DDE.jpg, ෞ, SINHALA VOWEL SIGN KOMBUVA HAA GAYANUKITTA
U+0DDF, image/0DDF.jpg, ෟ, SINHALA VOWEL SIGN GAYANUKITTA 
U+0DF2, image/0DF2.jpg, ෲ, SINHALA VOWEL SIGN DIGA GAETTA-PILLA
U+0DF3, image/0DF3.jpg, ෳ, SINHALA VOWEL SIGN DIGA GAYANUKITTA
