codepoint, imagepath, rawcode, desc

U+0D9A U+0DCA U+200D U+0DBB, image/0D9A-0DCA-200D-0DBB.jpg, ක්‍ර, SINHALA LETTER ALPAPRAANA KAYANNA+SINHALA VOWEL SIGN AL-LAKUNA+ZWJ+SINHALA LETTER RAYANNA
U+0D9B U+0DCA U+200D U+0DBB, image/0D9B-0DCA-200D-0DBB.jpg, ඛ්‍ර, SINHALA LETTER MAHAAPRAANA KAYANNA+SINHALA VOWEL SIGN AL-LAKUNA+ZWJ+SINHALA LETTER RAYANNA
U+0D9C U+0DCA U+200D U+0DBB, image/0D9C-0DCA-200D-0DBB.jpg, ග්‍ර, SINHALA LETTER ALPAPRAANA GAYANNA+SINHALA VOWEL SIGN AL-LAKUNA+ZWJ+SINHALA LETTER RAYANNA
U+0D9D U+0DCA U+200D U+0DBB, image/0D9D-0DCA-200D-0DBB.jpg, ඝ්‍ර, SINHALA LETTER MAHAAPRAANA GAYANNA+SINHALA VOWEL SIGN AL-LAKUNA+ZWJ+SINHALA LETTER RAYANNA
U+0D9E U+0DCA U+200D U+0DBB, image/0D9E-0DCA-200D-0DBB.jpg, ඞ්‍ර, SINHALA LETTER KANTAJA NAASIKYAYA+SINHALA VOWEL SIGN AL-LAKUNA+ZWJ+SINHALA LETTER RAYANNA
U+0D9F U+0DCA U+200D U+0DBB, image/0D9F-0DCA-200D-0DBB.jpg, ඟ්‍ර, SINHALA LETTER SANYAKA GAYANNA+SINHALA VOWEL SIGN AL-LAKUNA+ZWJ+SINHALA LETTER RAYANNA
U+0DA0 U+0DCA U+200D U+0DBB, image/0DA0-0DCA-200D-0DBB.jpg, ච්‍ර, SINHALA LETTER ALPAPRAANA CAYANNA+SINHALA VOWEL SIGN AL-LAKUNA+ZWJ+SINHALA LETTER RAYANNA
U+0DA1 U+0DCA U+200D U+0DBB, image/0DA1-0DCA-200D-0DBB.jpg, ඡ්‍ර, SINHALA LETTER MAHAAPRAANA CAYANNA+SINHALA VOWEL SIGN AL-LAKUNA+ZWJ+SINHALA LETTER RAYANNA
U+0DA2 U+0DCA U+200D U+0DBB, image/0DA2-0DCA-200D-0DBB.jpg, ජ්‍ර, SINHALA LETTER ALPAPRAANA JAYANNA+SINHALA VOWEL SIGN AL-LAKUNA+ZWJ+SINHALA LETTER RAYANNA
