codepoint, imagepath, rawcode, desc
U+0D9A U+0DCA U+200D U+0DBA , image/0D9A-0DCA-200D-0DBA.jpg, ක්‍ය, SINHALA LETTER ALPAPRAANA KAYANNA + SINHALA VOWEL SIGN AL-LAKUNA + ZWJ+ SINHALA LETTER YAYANNA
U+0D9B U+0DCA U+200D U+0DBA , image/0D9B-0DCA-200D-0DBA.jpg, ඛ්‍ය, SINHALA LETTER MAHAAPRAANA KAYANNA + SINHALA VOWEL SIGN AL-LAKUNA + ZWJ+ SINHALA LETTER YAYANNA
U+0D9C U+0DCA U+200D U+0DBA , image/0D9C-0DCA-200D-0DBA.jpg, ග්‍ය, SINHALA LETTER ALPAPRAANA GAYANNA + SINHALA VOWEL SIGN AL-LAKUNA + ZWJ+ SINHALA LETTER YAYANNA
U+0D9D U+0DCA U+200D U+0DBA , image/0D9D-0DCA-200D-0DBA.jpg, ඝ්‍ය, SINHALA LETTER MAHAAPRAANA GAYANNA + SINHALA VOWEL SIGN AL-LAKUNA + ZWJ+ SINHALA LETTER YAYANNA
U+0D9E U+0DCA U+200D U+0DBA , image/0D9E-0DCA-200D-0DBA.jpg, ඞ්‍ය, SINHALA LETTER KANTAJA NAASIKYAYA + SINHALA VOWEL SIGN AL-LAKUNA + ZWJ+ SINHALA LETTER YAYANNA
U+0D9F U+0DCA U+200D U+0DBA , image/0D9F-0DCA-200D-0DBA.jpg, ඟ්‍ය, SINHALA LETTER SANYAKA GAYANNA + SINHALA VOWEL SIGN AL-LAKUNA + ZWJ+ SINHALA LETTER YAYANNA
U+0DA0 U+0DCA U+200D U+0DBA , image/0DA0-0DCA-200D-0DBA.jpg, ච්‍ය, SINHALA LETTER ALPAPRAANA CAYANNA + SINHALA VOWEL SIGN AL-LAKUNA + ZWJ+ SINHALA LETTER YAYANNA
U+0DA1 U+0DCA U+200D U+0DBA , image/0DA1-0DCA-200D-0DBA.jpg, ඡ්‍ය, SINHALA LETTER MAHAAPRAANA CAYANNA + SINHALA VOWEL SIGN AL-LAKUNA + ZWJ+ SINHALA LETTER YAYANNA
U+0DA2 U+0DCA U+200D U+0DBA , image/0DA2-0DCA-200D-0DBA.jpg, ජ්‍ය, SINHALA LETTER ALPAPRAANA JAYANNA + SINHALA VOWEL SIGN AL-LAKUNA + ZWJ+ SINHALA LETTER YAYANNA
U+0DA3 U+0DCA U+200D U+0DBA , image/0DA3-0DCA-200D-0DBA.jpg, ඣ්‍ය, SINHALA LETTER MAHAAPRAANA JAYANNA + SINHALA VOWEL SIGN AL-LAKUNA + ZWJ+ SINHALA LETTER YAYANNA
U+0DA4 U+0DCA U+200D U+0DBA , image/0DA4-0DCA-200D-0DBA.jpg, ඤ්‍ය, SINHALA LETTER TAALUJA NAASIKYAYA + SINHALA VOWEL SIGN AL-LAKUNA + ZWJ+ SINHALA LETTER YAYANNA
U+0DA5 U+0DCA U+200D U+0DBA , image/0DA5-0DCA-200D-0DBA.jpg, ඥ්‍ය, SINHALA LETTER TAALUJA SANYOOGA NAASIKYAYA + SINHALA VOWEL SIGN AL-LAKUNA + ZWJ+ SINHALA LETTER YAYANNA
U+0DA6 U+0DCA U+200D U+0DBA , image/0DA6-0DCA-200D-0DBA.jpg, ඦ්‍ය, SINHALA LETTER SANYAKA JAYANNA + SINHALA VOWEL SIGN AL-LAKUNA + ZWJ+ SINHALA LETTER YAYANNA
U+0DA7 U+0DCA U+200D U+0DBA , image/0DA7-0DCA-200D-0DBA.jpg, ට්‍ය, SINHALA LETTER ALPAPRAANA TTAYANNA + SINHALA VOWEL SIGN AL-LAKUNA + ZWJ+ SINHALA LETTER YAYANNA
U+0DA8 U+0DCA U+200D U+0DBA , image/0DA8-0DCA-200D-0DBA.jpg, ඨ්‍ය, SINHALA LETTER MAHAAPRAANA TTAYANNA + SINHALA VOWEL SIGN AL-LAKUNA + ZWJ+ SINHALA LETTER YAYANNA
U+0DA9 U+0DCA U+200D U+0DBA , image/0DA9-0DCA-200D-0DBA.jpg, ඩ්‍ය, SINHALA LETTER ALPAPRAANA DDAYANNA + SINHALA VOWEL SIGN AL-LAKUNA + ZWJ+ SINHALA LETTER YAYANNA
U+0DAA U+0DCA U+200D U+0DBA , image/0DAA-0DCA-200D-0DBA.jpg, ඪ්‍ය, SINHALA LETTER MAHAAPRAANA DDAYANNA + SINHALA VOWEL SIGN AL-LAKUNA + ZWJ+ SINHALA LETTER YAYANNA
U+0DAB U+0DCA U+200D U+0DBA , image/0DAB-0DCA-200D-0DBA.jpg, ණ්‍ය, SINHALA LETTER MUURDHAJA NAYANNA + SINHALA VOWEL SIGN AL-LAKUNA + ZWJ+ SINHALA LETTER YAYANNA
U+0DAC U+0DCA U+200D U+0DBA , image/0DAC-0DCA-200D-0DBA.jpg, ඬ්‍ය, SINHALA LETTER SANYAKA DDAYANNA + SINHALA VOWEL SIGN AL-LAKUNA + ZWJ+ SINHALA LETTER YAYANNA
U+0DAD U+0DCA U+200D U+0DBA , image/0DAD-0DCA-200D-0DBA.jpg, ත්‍ය, SINHALA LETTER ALPAPRAANA TAYANNA + SINHALA VOWEL SIGN AL-LAKUNA + ZWJ+ SINHALA LETTER YAYANNA
U+0DAE U+0DCA U+200D U+0DBA , image/0DAE-0DCA-200D-0DBA.jpg, ථ්‍ය, SINHALA LETTER MAHAAPRAANA TAYANNA + SINHALA VOWEL SIGN AL-LAKUNA + ZWJ+ SINHALA LETTER YAYANNA
U+0DAF U+0DCA U+200D U+0DBA , image/0DAF-0DCA-200D-0DBA.jpg, ද්‍ය, SINHALA LETTER ALPAPRAANA DAYANNA + SINHALA VOWEL SIGN AL-LAKUNA + ZWJ+ SINHALA LETTER YAYANNA
U+0DB0 U+0DCA U+200D U+0DBA , image/0DB0-0DCA-200D-0DBA.jpg, ධ්‍ය, SINHALA LETTER MAHAAPRAANA DAYANNA + SINHALA VOWEL SIGN AL-LAKUNA + ZWJ+ SINHALA LETTER YAYANNA
U+0DB1 U+0DCA U+200D U+0DBA , image/0DB1-0DCA-200D-0DBA.jpg, න්‍ය, SINHALA LETTER DANTAJA NAYANNA + SINHALA VOWEL SIGN AL-LAKUNA + ZWJ+ SINHALA LETTER YAYANNA
