codepoint,imagepath,rawcode,desc
U+0B95 U+0BBF,image/0B95-0BBF.jpg,கி,KA + I
U+0B95 U+0BC0,image/0B95-0BC0.jpg,கீ,KA + II
U+0B95 U+0BC1,image/0B95-0BC1.jpg,கு,KA + U
U+0B95 U+0BC2,image/0B95-0BC2.jpg,கூ,KA + UU
U+0B95 U+0BCD,image/0B95-0BCD.jpg,க்,KA + HALANT
U+0B99 U+0BBF,image/0B99-0BBF.jpg,ஙி,NGA + I
U+0B99 U+0BC0,image/0B99-0BC0.jpg,ஙீ,NGA + II
U+0B99 U+0BC1,image/0B99-0BC1.jpg,ஙு,NGA + U
U+0B99 U+0BC2,image/0B99-0BC2.jpg,ஙூ,NGA + UU
U+0B99 U+0BCD,image/0B99-0BCD.jpg,ங்,NGA + HALANT
U+0B9A U+0BBF,image/0B9A-0BBF.jpg,சி,CA + I
U+0B9A U+0BC0,image/0B9A-0BC0.jpg,சீ,CA + II
U+0B9A U+0BC1,image/0B9A-0BC1.jpg,சு,CA + U
U+0B9A U+0BC2,image/0B9A-0BC2.jpg,சூ,CA + UU
U+0B9A U+0BCD,image/0B9A-0BCD.jpg,ச்,CA + HALANT
U+0B9C U+0BBF,image/0B9C-0BBF.jpg,ஜி,JA + I
U+0B9C U+0BC0,image/0B9C-0BC0.jpg,ஜீ,JA + II
U+0B9C U+0BC1,image/0B9C-0BC1.jpg,ஜு,JA + U
U+0B9C U+0BC2,image/0B9C-0BC2.jpg,ஜூ,JA + UU
U+0B9C U+0BCD,image/0B9C-0BCD.jpg,ஜ்,JA + HALANT
U+0B9E U+0BBF,image/0B9E-0BBF.jpg,ஞி,NYA + I
U+0B9E U+0BC0,image/0B9E-0BC0.jpg,ஞீ,NYA + II
U+0B9E U+0BC1,image/0B9E-0BC1.jpg,ஞு,NYA + U
U+0B9E U+0BC2,image/0B9E-0BC2.jpg,ஞூ,NYA + UU
U+0B9E U+0BCD,image/0B9E-0BCD.jpg,ஞ்,NYA + HALANT
U+0B9F U+0BBF,image/0B9F-0BBF.jpg,டி,TTA + I
U+0B9F U+0BC0,image/0B9F-0BC0.jpg,டீ,TTA + II
U+0B9F U+0BC1,image/0B9F-0BC1.jpg,டு,TTA + U
U+0B9F U+0BC2,image/0B9F-0BC2.jpg,டூ,TTA + UU
U+0B9F U+0BCD,image/0B9F-0BCD.jpg,ட்,TTA + HALANT
U+0BA3 U+0BBF,image/0BA3-0BBF.jpg,ணி,NNA + I
U+0BA3 U+0BC0,image/0BA3-0BC0.jpg,ணீ,NNA + II
U+0BA3 U+0BC1,image/0BA3-0BC1.jpg,ணு,NNA + U
U+0BA3 U+0BC2,image/0BA3-0BC2.jpg,ணூ,NNA + UU
U+0BA3 U+0BCD,image/0BA3-0BCD.jpg,ண்,NNA + HALANT
U+0BA4 U+0BBF,image/0BA4-0BBF.jpg,தி,TA + I
