codepoint,imagepath,rawcode,desc
U+0C15 U+0C01,image/0C15-0C01.svg,కఁ,KA + LETTER CHANDRABINDU
U+0C15 U+0C3E,image/0C15-0C3E.svg,కా,KA + VOWEL SIGN AA
U+0C15 U+0C3F,image/0C15-0C3F.svg,కి,KA + VOWEL SIGN I
U+0C15 U+0C40,image/0C15-0C40.svg,కీ,KA + VOWEL SIGN II
U+0C15 U+0C46,image/0C15-0C46.svg,కె,KA + VOWEL SIGN E
U+0C15 U+0C47,image/0C15-0C47.svg,కే,KA + VOWEL SIGN EE
U+0C15 U+0C48,image/0C15-0C48.svg,కై,KA + VOWEL SIGN AI
U+0C15 U+0C4A,image/0C15-0C4A.svg,కొ,KA + VOWEL SIGN O
U+0C15 U+0C4B,image/0C15-0C4B.svg,కో,KA + VOWEL SIGN OO
U+0C15 U+0C4C,image/0C15-0C4C.svg,కౌ,KA + VOWEL SIGN AU
U+0C15 U+0C4D,image/0C15-0C4D.svg,క్,KA + HALANT
U+0C16 U+0C01,image/0C16-0C01.svg,ఖఁ,KHA + LETTER CHANDRABINDU
U+0C16 U+0C3E,image/0C16-0C3E.svg,ఖా,KHA + VOWEL SIGN AA
U+0C16 U+0C3F,image/0C16-0C3F.svg,ఖి,KHA + VOWEL SIGN I
U+0C16 U+0C40,image/0C16-0C40.svg,ఖీ,KHA + VOWEL SIGN II
U+0C16 U+0C46,image/0C16-0C46.svg,ఖె,KHA + VOWEL SIGN E
U+0C16 U+0C47,image/0C16-0C47.svg,ఖే,KHA + VOWEL SIGN EE
U+0C16 U+0C48,image/0C16-0C48.svg,ఖై,KHA + VOWEL SIGN AI
U+0C16 U+0C4A,image/0C16-0C4A.svg,ఖొ,KHA + VOWEL SIGN O
U+0C16 U+0C4B,image/0C16-0C4B.svg,ఖో,KHA + VOWEL SIGN OO
U+0C16 U+0C4C,image/0C16-0C4C.svg,ఖౌ,KHA + VOWEL SIGN AU
U+0C16 U+0C4D,image/0C16-0C4D.svg,ఖ్,KHA + HALANT
U+0C17 U+0C01,image/0C17-0C01.svg,గఁ,GA + LETTER CHANDRABINDU
U+0C17 U+0C3E,image/0C17-0C3E.svg,గా,GA + VOWEL SIGN AA
