codepoint,imagepath,rawcode,desc
U+0C15 U+0C4D U+0C15,image/0C15-0C4D-0C15.svg,క్క,KA + HALANT + KA
U+0C15 U+0C4D U+0C16,image/0C15-0C4D-0C16.svg,క్ఖ,KA + HALANT + KHA
U+0C15 U+0C4D U+0C17,image/0C15-0C4D-0C17.svg,క్గ,KA + HALANT + GA
U+0C15 U+0C4D U+0C18,image/0C15-0C4D-0C18.svg,క్ఘ,KA + HALANT + GHA
U+0C15 U+0C4D U+0C19,image/0C15-0C4D-0C19.svg,క్ఙ,KA + HALANT + NGA
U+0C15 U+0C4D U+0C1A,image/0C15-0C4D-0C1A.svg,క్చ,KA + HALANT + CA
U+0C15 U+0C4D U+0C1B,image/0C15-0C4D-0C1B.svg,క్ఛ,KA + HALANT + CHA
U+0C15 U+0C4D U+0C1C,image/0C15-0C4D-0C1C.svg,క్జ,KA + HALANT + JA
U+0C15 U+0C4D U+0C1D,image/0C15-0C4D-0C1D.svg,క్ఝ,KA + HALANT + JHA
U+0C15 U+0C4D U+0C1E,image/0C15-0C4D-0C1E.svg,క్ఞ,KA + HALANT + NYA
U+0C15 U+0C4D U+0C1F,image/0C15-0C4D-0C1F.svg,క్ట,KA + HALANT + TTA
U+0C15 U+0C4D U+0C20,image/0C15-0C4D-0C20.svg,క్ఠ,KA + HALANT + TTHA
U+0C15 U+0C4D U+0C21,image/0C15-0C4D-0C21.svg,క్డ,KA + HALANT + DDA
U+0C15 U+0C4D U+0C22,image/0C15-0C4D-0C22.svg,క్ఢ,KA + HALANT + DDHA
U+0C15 U+0C4D U+0C23,image/0C15-0C4D-0C23.svg,క్ణ,KA + HALANT + NNA
U+0C15 U+0C4D U+0C24,image/0C15-0C4D-0C24.svg,క్త,KA + HALANT + TA
U+0C15 U+0C4D U+0C25,image/0C15-0C4D-0C25.svg,క్థ,KA + HALANT + THA
U+0C15 U+0C4D U+0C26,image/0C15-0C4D-0C26.svg,క్ద,KA + HALANT + DA
U+0C15 U+0C4D U+0C27,image/0C15-0C4D-0C27.svg,క్ధ,KA + HALANT + DHA
U+0C15 U+0C4D U+0C28,image/0C15-0C4D-0C28.svg,క్న,KA + HALANT + NA
U+0C15 U+0C4D U+0C2A,image/0C15-0C4D-0C2A.svg,క్ప,KA + HALANT + PA
U+0C15 U+0C4D U+0C2B,image/0C15-0C4D-0C2B.svg,క్ఫ,KA + HALANT + PHA
U+0C15 U+0C4D U+0C2C,image/0C15-0C4D-0C2C.svg,క్బ,KA + HALANT + BA
U+0C15 U+0C4D U+0C2D,image/0C15-0C4D-0C2D.svg,క్భ,KA + HALANT + BHA
U+0C15 U+0C4D U+0C2E,image/0C15-0C4D-0C2E.svg,క్మ,KA + HALANT + MA
U+0C15 U+0C4D U+0C2F,image/0C15-0C4D-0C2F.svg,క్య,KA + HALANT + YA
U+0C15 U+0C4D U+0C30,image/0C15-0C4D-0C30.svg,క్ర,KA + HALANT + RA
U+0C15 U+0C4D U+0C31,image/0C15-0C4D-0C31.svg,క్ఱ,KA + HALANT + RRA
U+0C15 U+0C4D U+0C32,image/0C15-0C4D-0C32.svg,క్ల,KA + HALANT + LA
U+0C15 U+0C4D U+0C33,image/0C15-0C4D-0C33.svg,క్ళ,KA + HALANT + LLA
U+0C15 U+0C4D U+0C35,image/0C15-0C4D-0C35.svg,క్వ,KA + HALANT + VA
U+0C15 U+0C4D U+0C36,image/0C15-0C4D-0C36.svg,క్శ,KA + HALANT + SHA
U+0C15 U+0C4D U+0C37,image/0C15-0C4D-0C37.svg,క్ష,KA + HALANT + SSA
U+0C15 U+0C4D U+0C37 U+0C4D U+0C2E,image/0C15-0C4D-0C37-0C4D-0C2E.svg,క్ష్మ,KA + HALANT + SSA + HALANT + MA
U+0C15 U+0C4D U+0C37 U+0C4D U+0C2E + U+0C3F,image/0C15-0C4D-0C37-0C4D-0C2E-0C3F.svg,క్ష్మి,KA + HALANT + SSA + HALANT + MA + VOWEL SIGN I
U+0C15 U+0C4D U+0C38,image/0C15-0C4D-0C38.svg,క్స,KA + HALANT + SA
U+0C15 U+0C4D U+0C39,image/0C15-0C4D-0C39.svg,క్హ,KA + HALANT + HA
U+0C24 U+0C4D U+0C15,image/0C24-0C4D-0C15.svg,త్క,TA + HALANT + KA
U+0C24 U+0C4D U+0C16,image/0C24-0C4D-0C16.svg,త్ఖ,TA + HALANT + KHA
U+0C24 U+0C4D U+0C17,image/0C24-0C4D-0C17.svg,త్గ,TA + HALANT + GA
U+0C24 U+0C4D U+0C18,image/0C24-0C4D-0C18.svg,త్ఘ,TA + HALANT + GHA
U+0C24 U+0C4D U+0C19,image/0C24-0C4D-0C19.svg,త్ఙ,TA + HALANT + NGA
U+0C24 U+0C4D U+0C1A,image/0C24-0C4D-0C1A.svg,త్చ,TA + HALANT + CA
U+0C24 U+0C4D U+0C1B,image/0C24-0C4D-0C1B.svg,త్ఛ,TA + HALANT + CHA
U+0C24 U+0C4D U+0C1C,image/0C24-0C4D-0C1C.svg,త్జ,TA + HALANT + JA
U+0C24 U+0C4D U+0C1D,image/0C24-0C4D-0C1D.svg,త్ఝ,TA + HALANT + JHA 
U+0C24 U+0C4D U+0C1E,image/0C24-0C4D-0C1E.svg,త్ఞ,TA + HALANT + NYA
U+0C24 U+0C4D U+0C1F,image/0C24-0C4D-0C1F.svg,త్ట,TA + HALANT + TTA
U+0C24 U+0C4D U+0C20,image/0C24-0C4D-0C20.svg,త్ఠ,TA + HALANT + TTHA
U+0C24 U+0C4D U+0C21,image/0C24-0C4D-0C21.svg,త్డ,TA + HALANT + DDA
U+0C24 U+0C4D U+0C22,image/0C24-0C4D-0C22.svg,త్ఢ,TA + HALANT + DDHA
U+0C24 U+0C4D U+0C23,image/0C24-0C4D-0C23.svg,త్ణ,TA + HALANT + NNA
U+0C24 U+0C4D U+0C24,image/0C24-0C4D-0C24.svg,త్త,TA + HALANT + TA
U+0C24 U+0C4D U+0C25,image/0C24-0C4D-0C25.svg,త్థ,TA + HALANT + THA
U+0C24 U+0C4D U+0C26,image/0C24-0C4D-0C26.svg,త్ద,TA + HALANT + DA
U+0C24 U+0C4D U+0C27,image/0C24-0C4D-0C27.svg,త్ధ,TA + HALANT + DHA
U+0C24 U+0C4D U+0C28,image/0C24-0C4D-0C28.svg,త్న,TA + HALANT + NA
U+0C24 U+0C4D U+0C2A,image/0C24-0C4D-0C2A.svg,త్ప,TA + HALANT + PA
U+0C24 U+0C4D U+0C2B,image/0C24-0C4D-0C2B.svg,త్ఫ,TA + HALANT + PHA
U+0C24 U+0C4D U+0C2C,image/0C24-0C4D-0C2C.svg,త్బ,TA + HALANT + BA
U+0C24 U+0C4D U+0C2D,image/0C24-0C4D-0C2D.svg,త్భ,TA + HALANT + BHA
U+0C24 U+0C4D U+0C2E,image/0C24-0C4D-0C2E.svg,త్మ,TA + HALANT + MA
U+0C24 U+0C4D U+0C2F,image/0C24-0C4D-0C2F.svg,త్య,TA + HALANT + YA
U+0C24 U+0C4D U+0C30,image/0C24-0C4D-0C30.svg,త్ర,TA + HALANT + RA
U+0C24 U+0C4D U+0C31,image/0C24-0C4D-0C31.svg,త్ఱ,TA + HALANT + RRA
U+0C24 U+0C4D U+0C32,image/0C24-0C4D-0C32.svg,త్ల,TA + HALANT + LA
U+0C24 U+0C4D U+0C33,image/0C24-0C4D-0C33.svg,త్ళ,TA + HALANT + LLA
U+0C24 U+0C4D U+0C35,image/0C24-0C4D-0C35.svg,త్వ,TA + HALANT + VA
U+0C24 U+0C4D U+0C36,image/0C24-0C4D-0C36.svg,త్శ,TA + HALANT + SHA
U+0C24 U+0C4D U+0C37,image/0C24-0C4D-0C37.svg,త్ష,TA + HALANT + SSA
U+0C24 U+0C4D U+0C38,image/0C24-0C4D-0C38.svg,త్స,TA + HALANT + SA
U+0C24 U+0C4D U+0C39,image/0C24-0C4D-0C39.svg,త్హ,TA + HALANT + HA
U+0C28 U+0C4D U+0C15,image/0C28-0C4D-0C15.svg,న్క,NA + HALANT + KA
U+0C28 U+0C4D U+0C16,image/0C28-0C4D-0C16.svg,న్ఖ,NA + HALANT + KHA
U+0C28 U+0C4D U+0C17,image/0C28-0C4D-0C17.svg,న్గ,NA + HALANT + GA
U+0C28 U+0C4D U+0C18,image/0C28-0C4D-0C18.svg,న్ఘ,NA + HALANT + GHA
U+0C28 U+0C4D U+0C19,image/0C28-0C4D-0C19.svg,న్ఙ,NA + HALANT + NGA
U+0C28 U+0C4D U+0C1A,image/0C28-0C4D-0C1A.svg,న్చ,NA + HALANT + CA
U+0C28 U+0C4D U+0C1B,image/0C28-0C4D-0C1B.svg,న్ఛ,NA + HALANT + CHA
U+0C28 U+0C4D U+0C1C,image/0C28-0C4D-0C1C.svg,న్జ,NA + HALANT + JA
U+0C28 U+0C4D U+0C1D,image/0C28-0C4D-0C1D.svg,న్ఝ,NA + HALANT + JHA
U+0C28 U+0C4D U+0C1E,image/0C28-0C4D-0C1E.svg,న్ఞ,NA + HALANT + NYA
U+0C28 U+0C4D U+0C1F,image/0C28-0C4D-0C1F.svg,న్ట,NA + HALANT + TTA
U+0C28 U+0C4D U+0C20,image/0C28-0C4D-0C20.svg,న్ఠ,NA + HALANT + TTHA
U+0C28 U+0C4D U+0C21,image/0C28-0C4D-0C21.svg,న్డ,NA + HALANT + DDA
U+0C28 U+0C4D U+0C22,image/0C28-0C4D-0C22.svg,న్ఢ,NA + HALANT + DDHA
U+0C28 U+0C4D U+0C23,image/0C28-0C4D-0C23.svg,న్ణ,NA + HALANT + NNA
U+0C28 U+0C4D U+0C24,image/0C28-0C4D-0C24.svg,న్త,NA + HALANT + TA
U+0C28 U+0C4D U+0C25,image/0C28-0C4D-0C25.svg,న్థ,NA + HALANT + THA
U+0C28 U+0C4D U+0C26,image/0C28-0C4D-0C26.svg,న్ద,NA + HALANT + DA
U+0C28 U+0C4D U+0C27,image/0C28-0C4D-0C27.svg,న్ధ,NA + HALANT + DHA
U+0C28 U+0C4D U+0C28,image/0C28-0C4D-0C28.svg,న్న,NA + HALANT + NA
U+0C28 U+0C4D U+0C2A,image/0C28-0C4D-0C2A.svg,న్ప,NA + HALANT + PA
U+0C28 U+0C4D U+0C2B,image/0C28-0C4D-0C2B.svg,న్ఫ,NA + HALANT + PHA
U+0C28 U+0C4D U+0C2C,image/0C28-0C4D-0C2C.svg,న్బ,NA + HALANT + BA
U+0C28 U+0C4D U+0C2D,image/0C28-0C4D-0C2D.svg,న్భ,NA + HALANT + BHA
U+0C28 U+0C4D U+0C2E,image/0C28-0C4D-0C2E.svg,న్మ,NA + HALANT + MA
U+0C28 U+0C4D U+0C2F,image/0C28-0C4D-0C2F.svg,న్య,NA + HALANT + YA
U+0C28 U+0C4D U+0C30,image/0C28-0C4D-0C30.svg,న్ర,NA + HALANT + RA
U+0C28 U+0C4D U+0C31,image/0C28-0C4D-0C31.svg,న్ఱ,NA + HALANT + RRA
U+0C28 U+0C4D U+0C32,image/0C28-0C4D-0C32.svg,న్ల,NA + HALANT + LA
U+0C28 U+0C4D U+0C33,image/0C28-0C4D-0C33.svg,న్ళ,NA + HALANT + LLA
U+0C28 U+0C4D U+0C35,image/0C28-0C4D-0C35.svg,న్వ,NA + HALANT + VA
U+0C28 U+0C4D U+0C36,image/0C28-0C4D-0C36.svg,న్శ,NA + HALANT + SHA
U+0C28 U+0C4D U+0C37,image/0C28-0C4D-0C37.svg,న్ష,NA + HALANT + SSA
U+0C28 U+0C4D U+0C38,image/0C28-0C4D-0C38.svg,న్స,NA + HALANT + SA
U+0C28 U+0C4D U+0C39,image/0C28-0C4D-0C39.svg,న్హ,NA + HALANT + HA
U+0C2E U+0C4D U+0C15,image/0C2E-0C4D-0C15.svg,మ్క,MA + HALANT + KA
U+0C2E U+0C4D U+0C16,image/0C2E-0C4D-0C16.svg,మ్ఖ,MA + HALANT + KHA
U+0C2E U+0C4D U+0C17,image/0C2E-0C4D-0C17.svg,మ్గ,MA + HALANT + GA
U+0C2E U+0C4D U+0C18,image/0C2E-0C4D-0C18.svg,మ్ఘ,MA + HALANT + GHA
U+0C2E U+0C4D U+0C19,image/0C2E-0C4D-0C19.svg,మ్ఙ,MA + HALANT + NGA
U+0C2E U+0C4D U+0C1A,image/0C2E-0C4D-0C1A.svg,మ్చ,MA + HALANT + CA
U+0C2E U+0C4D U+0C1B,image/0C2E-0C4D-0C1B.svg,మ్ఛ,MA + HALANT + CHA
U+0C2E U+0C4D U+0C1C,image/0C2E-0C4D-0C1C.svg,మ్జ,MA + HALANT + JA
U+0C2E U+0C4D U+0C1D,image/0C2E-0C4D-0C1D.svg,మ్ఝ,MA + HALANT + JHA
U+0C2E U+0C4D U+0C1E,image/0C2E-0C4D-0C1E.svg,మ్ఞ,MA + HALANT + NYA
U+0C2E U+0C4D U+0C1F,image/0C2E-0C4D-0C1F.svg,మ్ట,MA + HALANT + TTA
U+0C2E U+0C4D U+0C20,image/0C2E-0C4D-0C20.svg,మ్ఠ,MA + HALANT + TTHA
U+0C2E U+0C4D U+0C21,image/0C2E-0C4D-0C21.svg,మ్డ,MA + HALANT + DDA
U+0C2E U+0C4D U+0C22,image/0C2E-0C4D-0C22.svg,మ్ఢ,MA + HALANT + DDHA
U+0C2E U+0C4D U+0C23,image/0C2E-0C4D-0C23.svg,మ్ణ,MA + HALANT + NNA
U+0C2E U+0C4D U+0C24,image/0C2E-0C4D-0C24.svg,మ్త,MA + HALANT + TA
U+0C2E U+0C4D U+0C25,image/0C2E-0C4D-0C25.svg,మ్థ,MA + HALANT + THA
U+0C2E U+0C4D U+0C26,image/0C2E-0C4D-0C26.svg,మ్ద,MA + HALANT + DA
U+0C2E U+0C4D U+0C27,image/0C2E-0C4D-0C27.svg,మ్ధ,MA + HALANT + DHA
U+0C2E U+0C4D U+0C28,image/0C2E-0C4D-0C28.svg,మ్న,MA + HALANT + NA
U+0C2E U+0C4D U+0C2A,image/0C2E-0C4D-0C2A.svg,మ్ప,MA + HALANT + PA
U+0C2E U+0C4D U+0C2B,image/0C2E-0C4D-0C2B.svg,మ్ఫ,MA + HALANT + PHA
U+0C2E U+0C4D U+0C2C,image/0C2E-0C4D-0C2C.svg,మ్బ,MA + HALANT + BA
U+0C2E U+0C4D U+0C2D,image/0C2E-0C4D-0C2D.svg,మ్భ,MA + HALANT + BHA
U+0C2E U+0C4D U+0C2E,image/0C2E-0C4D-0C2E.svg,మ్మ,MA + HALANT + MA
U+0C2E U+0C4D U+0C2F,image/0C2E-0C4D-0C2F.svg,మ్య,MA + HALANT + YA
U+0C2E U+0C4D U+0C30,image/0C2E-0C4D-0C30.svg,మ్ర,MA + HALANT + RA
U+0C2E U+0C4D U+0C31,image/0C2E-0C4D-0C31.svg,మ్ఱ,MA + HALANT + RRA
U+0C2E U+0C4D U+0C32,image/0C2E-0C4D-0C32.svg,మ్ల,MA + HALANT + LA
U+0C2E U+0C4D U+0C33,image/0C2E-0C4D-0C33.svg,మ్ళ,MA + HALANT + LLA
U+0C2E U+0C4D U+0C35,image/0C2E-0C4D-0C35.svg,మ్వ,MA + HALANT + VA
